feature,importance_gain,importance_split
x_120m_Vol_neut,350980361.0,134
x_1440m_RVol,271399316.0,271
x_60m_Vol_neut,267210001.0,100
x_5m_RatioSkew_neut,238404338.0,149
x_1440m_Premium,233318346.0,230
x_120m_Vol,225127044.0,125
x_120m_H2L_Vol,192162548.0,185
x_480m_H2L_Vol,190900968.0,180
x_240m_O2H,181062413.0,146
x_1440m_NetTaker_neut,176776768.0,151
x_1440m_H2C,172525769.0,125
x_1440m_H2C_neut,169703934.0,124
x_240m_OI_P_Corr,165858363.0,148
x_1440m_RatioSkewDiff_neut,164586027.0,106
x_720m_OI_XSkew,157143875.0,125
x_1440m_O2H_neut,152768313.0,148
x_240m_O2C,147180246.0,110
x_120m_VolDiff_neut,147158548.0,127
x_1440m_EffRatio_neut,145918438.0,115
x_480m_RatioSkewDiff_neut,141513530.0,125
x_720m_O2H,139940710.0,127
x_720m_OI_Z_neut,139886707.0,114
x_5m_WhaleGap,139100629.0,116
x_480m_L2C,138278969.0,105
x_720m_H2L_Vol,132737440.0,142
x_720m_H2C_neut,131772541.0,66
x_720m_OI_Chg_neut,129714689.0,113
x_1440m_L2C_neut,129471381.0,130
x_720m_O2H_neut,128642722.0,102
x_1440m_PctB_neut,123734546.0,110
x_1440m_OI_Chg_neut,123730986.0,109
x_120m_NetTaker_neut,122839172.0,64
x_1440m_EffRatio,119502014.0,96
x_240m_O2L_neut,119025226.0,103
x_480m_H2C_neut,118357830.0,83
x_240m_O2H_neut,117705133.0,110
x_15m_H2L_Vol,116957895.0,86
x_1440m_PremiumDiff,116177073.0,77
x_720m_Close_Diff_Rate_neut,115806237.0,94
x_480m_L2C_neut,113531076.0,114
x_240m_EffRatio_neut,112487265.0,95
x_120m_OI_Chg_neut,110948596.0,123
x_120m_H2C_neut,110625946.0,89
x_120m_OI_Chg,108774948.0,73
x_720m_O2L_neut,107341350.0,94
x_1440m_O2H,102496078.0,99
x_1440m_O2L_neut,102378256.0,93
x_120m_H2C,102177053.0,68
x_720m_O2C_neut,102106357.0,72
x_1440m_OI_Chg,101561880.0,102
x_480m_OI_Chg,95751830.0,83
x_1440m_L2C,95349727.0,96
x_60m_PremiumDiff_neut,95238258.0,66
x_60m_OI_Chg_neut,94955245.0,77
x_480m_EffRatio_neut,94691438.0,91
x_60m_H2L_Vol_neut,93252503.0,108
x_480m_O2H_neut,93206597.0,93
x_30m_PremiumDiff,93106876.0,45
x_480m_NetTaker_neut,88195211.0,97
x_240m_C2VWAP_neut,87560427.0,63
x_720m_EffRatio,85176695.0,69
x_60m_Close_Diff_Rate,79903976.0,53
x_480m_O2C_neut,79382389.0,71
x_120m_L2C_neut,79109594.0,80
x_480m_O2L_neut,78909543.0,87
x_30m_O2H,78727473.0,73
x_240m_O2L,78002312.0,73
x_120m_CrowdingPressure_neut,77843399.0,85
x_1440m_O2C_neut,77791060.0,89
x_480m_EffRatio,77632840.0,79
x_480m_Close_Diff_Rate,77168728.0,85
x_240m_OI_Chg,76840549.0,81
x_1m_Premium,76241650.0,59
x_1440m_O2L,75010445.0,83
x_720m_OI_Price_Ratio_neut,74449437.0,71
x_120m_O2H_neut,74086432.0,74
x_240m_OI_Chg_neut,73475511.0,96
x_720m_O2L,72339367.0,74
x_60m_O2L,71869341.0,66
x_720m_OI_Price_Ratio,70654796.0,79
x_60m_O2H,70541825.0,73
x_120m_O2L,70435280.0,70
x_120m_C2VWAP_neut,70291365.0,65
x_1440m_OI_Price_Ratio_neut,70118444.0,66
x_120m_O2H,69506579.0,82
x_120m_O2L_neut,68042299.0,69
x_720m_OI_Z,66498281.0,57
x_240m_NetTaker_neut,66059353.0,67
x_5m_H2C,64115981.0,43
x_5m_Premium_neut,63847845.0,75
x_5m_RVol,62002610.0,81
x_240m_PctB_neut,61875810.0,69
x_480m_PremiumDiff_neut,60858017.0,53
x_60m_OI_Price_Ratio,60754677.0,66
x_60m_O2L_neut,60228332.0,54
x_120m_Close_Diff_Rate,57895639.0,57
x_15m_L2C,56137427.0,66
x_120m_Close_Diff_Rate_neut,55941374.0,51
x_60m_H2C,55211199.0,65
x_120m_L2C,54696846.0,45
x_60m_OI_Chg,54537451.0,57
x_15m_O2L_neut,53853823.0,53
