feature,importance_gain,importance_split
x_1440m_RVol,661080140.0,400
x_5m_WhaleGap,415185089.0,167
x_1440m_Premium,362248633.0,235
x_480m_RatioSkewDiff_neut,341462856.0,145
x_1440m_OI_Chg,295175514.0,183
x_480m_H2L_Vol,290687833.0,174
x_1440m_NetTaker_neut,276748839.0,130
x_480m_OI_Chg,271511153.0,162
x_120m_H2L_Vol,267294512.0,156
x_1440m_O2H_neut,265619068.0,175
x_480m_NetTaker_neut,261287495.0,124
x_120m_Vol,253083435.0,129
x_480m_O2H_neut,245738827.0,169
x_120m_Vol_neut,236305130.0,130
x_1440m_O2L,234299727.0,137
x_5m_RatioSkew_neut,230013715.0,120
x_240m_O2H_neut,228443190.0,120
x_480m_EffRatio_neut,225596177.0,155
x_1440m_OI_Price_Ratio_neut,225355776.0,111
x_120m_O2H_neut,216880731.0,143
x_720m_H2L_Vol,215036063.0,149
x_1440m_RatioSkewDiff_neut,207415567.0,120
x_1440m_O2H,207005539.0,133
x_120m_CrowdingPressure_neut,197608529.0,118
x_1440m_H2C,196089057.0,145
x_720m_O2L_neut,192109031.0,142
x_120m_VolDiff_neut,171732259.0,98
x_240m_NetTaker_neut,170708209.0,75
x_480m_L2C,168027079.0,101
x_240m_OI_P_Corr,167940918.0,99
x_1440m_PctB_neut,166039144.0,126
x_1440m_OI_Chg_neut,163271066.0,104
x_1440m_L2C,156777663.0,125
x_720m_OI_XSkew,154365932.0,100
x_240m_PctB_neut,149070062.0,76
x_1440m_L2C_neut,147804309.0,108
x_240m_O2H,146970300.0,117
x_480m_H2C_neut,144392313.0,95
x_480m_L2C_neut,143431975.0,112
x_120m_O2L_neut,142394228.0,76
x_1440m_O2L_neut,142108410.0,96
x_1440m_EffRatio,141641679.0,83
x_1440m_PremiumDiff,140115113.0,95
x_720m_O2L,139358988.0,89
x_15m_H2L_Vol,138063766.0,87
x_720m_OI_Z_neut,135542543.0,86
x_240m_EffRatio_neut,133479329.0,73
x_480m_O2L,132575904.0,84
x_480m_Close_Diff_Rate,132162931.0,98
x_120m_L2C_neut,129965398.0,93
x_720m_EffRatio,128079841.0,89
x_720m_Close_Diff_Rate_neut,126738916.0,102
x_120m_O2H,124303098.0,92
x_60m_H2L_Vol_neut,122186367.0,80
x_480m_O2L_neut,121617509.0,74
x_720m_OI_Z,120628859.0,84
x_720m_H2C_neut,120242681.0,61
x_720m_OI_Price_Ratio,119428175.0,76
x_60m_O2L_neut,118367062.0,62
x_60m_O2H,118252421.0,91
x_120m_O2L,116552717.0,68
x_120m_L2C,116191940.0,76
x_240m_OI_Chg_neut,115966526.0,90
x_120m_NetTaker_neut,114870784.0,70
x_240m_C2VWAP_neut,114086434.0,76
x_480m_O2C_neut,111574464.0,71
x_720m_OI_Chg_neut,111449420.0,82
x_1440m_H2C_neut,110603979.0,78
x_60m_Vol_neut,110568621.0,70
x_720m_O2C_neut,110102876.0,91
x_1440m_EffRatio_neut,109811040.0,76
x_720m_OI_Price_Ratio_neut,109185016.0,65
x_240m_O2C,104321052.0,80
x_720m_O2H,103723627.0,72
x_1440m_PctB,101998909.0,80
x_5m_Premium_neut,100193632.0,74
x_120m_Close_Diff_Rate,95206883.0,63
x_480m_EffRatio,94429040.0,56
x_720m_PremiumDiff,94376272.0,60
x_30m_O2L_neut,91057816.0,65
x_60m_O2L,91034571.0,58
x_240m_OI_Chg,90995137.0,73
x_5m_H2L_Vol_neut,90050318.0,56
x_240m_PremiumDiff,87607426.0,47
x_240m_O2L,86930028.0,50
x_60m_PremiumDiff,86609700.0,68
x_60m_O2H_neut,85161330.0,64
x_720m_O2H_neut,84629070.0,64
x_120m_OI_Chg_neut,84150898.0,69
x_120m_Close_Diff_Rate_neut,83855336.0,61
x_240m_O2L_neut,82375438.0,56
x_120m_H2C,80576348.0,49
x_120m_OI_Chg,80249319.0,60
x_15m_L2C,79625935.0,50
x_120m_C2VWAP_neut,77742278.0,55
x_5m_RVol,77158753.0,59
x_1440m_Close_Diff_Rate_neut,72993715.0,62
x_1m_H2L_Vol,68149304.0,51
x_60m_Close_Diff_Rate,67856483.0,52
x_1m_PremiumDiff_neut,67036143.0,50
x_30m_OI_Chg_neut,66973693.0,50
x_5m_O2H,66940449.0,43
x_30m_O2C,65624789.0,54
x_120m_H2C_neut,65252227.0,56
x_60m_OI_Chg_neut,63642992.0,49
x_1m_Premium,63348225.0,52
x_1440m_O2C_neut,62472576.0,44
x_5m_O2H_neut,61683366.0,43
x_30m_O2H,60765963.0,42
x_15m_O2L_neut,59300529.0,40
x_30m_O2H_neut,59110248.0,42
x_60m_OI_Price_Ratio,59069783.0,41
x_1m_O2L,58798335.0,39
x_1440m_PremiumDiff_neut,57964910.0,42
x_5m_L2C_neut,57495737.0,42
x_15m_O2L,57174820.0,44
x_60m_OI_Chg,56351924.0,48
x_60m_H2C,56209208.0,47
x_30m_OI_Chg,55830870.0,50
x_30m_L2C_neut,55261659.0,42
x_5m_L2C,54649396.0,40
x_30m_PremiumDiff,53531306.0,50
x_1m_PremiumDiff,53095010.0,43
x_480m_PremiumDiff,52503144.0,46
x_30m_PremiumDiff_neut,52206786.0,42
x_60m_EffRatio,51503295.0,33
x_15m_O2H_neut,50926672.0,38
x_15m_RatioSkewDiff_neut,49477170.0,38
x_5m_PctB_neut,48863941.0,30
x_480m_PremiumDiff_neut,48406717.0,32
x_1m_Premium_neut,48077599.0,32
x_30m_O2L,46548466.0,35
x_1m_H2C,45735085.0,31
x_15m_OI_Chg,45701391.0,42
x_240m_PremiumDiff_neut,43899555.0,31
x_60m_PremiumDiff_neut,42855291.0,32
x_15m_O2H,41489543.0,31
x_720m_PremiumDiff_neut,41223636.0,31
x_15m_OI_Chg_neut,40935907.0,30
x_5m_O2C_neut,39745152.0,33
x_1m_L2C,39613465.0,32
x_15m_PremiumDiff,39410248.0,36
x_1m_H2L_Vol_neut,39306360.0,26
x_15m_H2C,38187608.0,26
x_5m_RVol_neut,37650722.0,27
x_120m_PremiumDiff_neut,36642481.0,30
x_1m_H2C_neut,35322715.0,25
x_5m_O2C,34759225.0,28
x_15m_PremiumDiff_neut,34737267.0,31
x_120m_PremiumDiff,34574181.0,27
x_5m_PremiumDiff,32794548.0,26
x_5m_H2C,32448262.0,25
x_5m_O2L,31994244.0,28
x_5m_C2VWAP,31532224.0,26
x_60m_EffRatio_neut,31167019.0,21
x_1m_O2H_neut,31021226.0,25
x_1m_O2L_neut,30555238.0,24
x_5m_OI_Chg,30208294.0,25
x_15m_H2C_neut,29140454.0,22
x_5m_H2C_neut,28861704.0,24
x_5m_O2L_neut,28744583.0,23
x_5m_PremiumDiff_neut,28529201.0,26
x_1m_C2VWAP_neut,27766213.0,24
x_1m_L2C_neut,27424561.0,23
x_5m_C2VWAP_neut,22484801.0,19
x_1m_C2VWAP,20399915.0,15
