feature,importance_gain,importance_split
x_1440m_RVol,1081475446.0,1171
x_1440m_Premium,668397572.0,753
x_5m_WhaleGap,615521401.0,499
x_480m_H2L_Vol,521549855.0,606
x_1440m_NetTaker_neut,505385000.0,493
x_5m_RatioSkew_neut,480566519.0,490
x_1440m_OI_Chg,460644501.0,474
x_480m_RatioSkewDiff_neut,457369705.0,415
x_120m_H2L_Vol,456991263.0,498
x_720m_H2L_Vol,452708560.0,568
x_480m_NetTaker_neut,443658577.0,431
x_240m_O2H_neut,432550387.0,400
x_120m_Vol,415416075.0,395
x_1440m_O2H_neut,408082367.0,477
x_1440m_O2L,395387866.0,432
x_480m_OI_Chg,394780536.0,402
x_120m_Vol_neut,385835533.0,414
x_1440m_O2H,380098760.0,447
x_480m_O2H_neut,357679328.0,400
x_1440m_L2C_neut,353837842.0,465
x_720m_O2L_neut,351781561.0,420
x_1440m_RatioSkewDiff_neut,342200177.0,365
x_1440m_OI_Chg_neut,340272902.0,439
x_480m_EffRatio_neut,340240056.0,383
x_1440m_H2C,335127290.0,391
x_240m_O2H,331206305.0,457
x_120m_O2H_neut,327234252.0,355
x_240m_OI_P_Corr,327190068.0,375
x_1440m_L2C,325369367.0,444
x_1440m_O2L_neut,319504315.0,403
x_1440m_OI_Price_Ratio_neut,317712664.0,315
x_120m_VolDiff_neut,316862730.0,349
x_480m_L2C,312164741.0,368
x_720m_O2L,310340830.0,362
x_120m_CrowdingPressure_neut,309822043.0,377
x_720m_OI_XSkew,305543119.0,367
x_480m_L2C_neut,305344270.0,384
x_15m_H2L_Vol,304436897.0,387
x_720m_O2H,278396200.0,372
x_1440m_EffRatio,274490803.0,302
x_240m_NetTaker_neut,273883359.0,273
x_240m_PctB_neut,270719443.0,278
x_120m_O2H,270417880.0,351
x_720m_H2C_neut,266402888.0,313
x_1440m_PctB_neut,265998936.0,337
x_1440m_H2C_neut,265555862.0,356
x_720m_OI_Chg_neut,262421490.0,363
x_480m_H2C_neut,262381584.0,300
x_1440m_EffRatio_neut,259531416.0,342
x_720m_OI_Price_Ratio,257974168.0,299
x_720m_EffRatio,255214340.0,294
x_240m_OI_Chg_neut,254102717.0,336
x_720m_Close_Diff_Rate_neut,252062762.0,333
x_480m_O2L_neut,249281065.0,316
x_240m_EffRatio_neut,245673835.0,258
x_720m_OI_Z_neut,245545703.0,286
x_60m_H2L_Vol_neut,244020760.0,314
x_480m_Close_Diff_Rate,239043095.0,312
x_120m_NetTaker_neut,238448558.0,266
x_120m_O2L_neut,237055007.0,279
x_60m_Vol_neut,230729342.0,268
x_720m_OI_Price_Ratio_neut,227747834.0,259
x_120m_OI_Chg_neut,226498820.0,300
x_480m_O2L,225594736.0,278
x_120m_L2C,225545141.0,258
x_720m_O2C_neut,224710849.0,297
x_120m_L2C_neut,223726508.0,285
x_240m_C2VWAP_neut,222203486.0,285
x_5m_Premium_neut,221271558.0,281
x_60m_O2H,218370894.0,283
x_480m_O2C_neut,216619567.0,293
x_720m_O2H_neut,211585840.0,289
x_240m_O2L_neut,210198455.0,263
x_240m_OI_Chg,209487306.0,295
x_120m_OI_Chg,205582071.0,299
x_720m_OI_Z,204577540.0,262
x_240m_O2C,202494411.0,289
x_1440m_PremiumDiff,196262996.0,223
x_120m_O2L,193597028.0,218
x_1440m_O2C_neut,191567703.0,275
x_1440m_Close_Diff_Rate_neut,189299995.0,272
