feature,importance_gain,importance_split
x_240m_OI_P_Corr,26121854.0,10
x_5m_H2L_Vol_neut,18983130.0,2
x_1440m_O2L,17081277.0,5
x_1440m_L2C_neut,13083120.0,9
x_1440m_RVol,13001028.0,8
x_720m_OI_XSkew,12206723.0,7
x_120m_VolDiff_neut,11777802.0,7
x_5m_WhaleGap,11370223.0,6
x_1440m_RatioSkewDiff_neut,11193611.0,8
x_480m_RatioSkewDiff_neut,10809657.0,4
x_720m_OI_Z,10663886.0,5
x_240m_NetTaker_neut,10532710.0,9
x_1440m_NetTaker_neut,10331010.0,5
x_1440m_EffRatio_neut,9147523.0,5
x_1440m_PctB,8748723.0,5
x_1440m_Premium,8402860.0,3
x_1440m_PctB_neut,8195076.0,6
x_1440m_OI_Chg_neut,7590279.0,3
x_480m_H2L_Vol,7422775.0,7
x_120m_Vol,6927018.0,5
x_60m_H2L_Vol_neut,6568605.0,6
x_240m_O2H_neut,5860280.0,1
x_5m_C2VWAP_neut,5775269.0,3
x_1440m_H2C,4996485.0,3
x_720m_OI_Z_neut,4902258.0,4
x_120m_Vol_neut,4893099.0,4
x_1440m_H2C_neut,4891832.0,5
x_1440m_Close_Diff_Rate_neut,4586690.0,1
x_120m_C2VWAP_neut,4293900.0,1
x_120m_H2C_neut,3950385.0,3
x_240m_EffRatio_neut,3841530.0,3
x_120m_Close_Diff_Rate,3753460.0,2
x_720m_OI_Price_Ratio_neut,3747976.0,3
x_480m_EffRatio_neut,3740948.0,3
x_1440m_EffRatio,3701161.0,3
x_240m_OI_Chg,3617280.0,2
x_5m_RVol_neut,3537342.0,3
x_480m_NetTaker_neut,3384445.0,4
x_120m_PremiumDiff_neut,3374640.0,2
x_720m_EffRatio,3330233.0,4
x_1440m_O2L_neut,3292343.0,4
x_480m_Close_Diff_Rate,3212209.0,3
x_480m_L2C,3057029.0,4
x_15m_PremiumDiff_neut,3039590.0,1
x_480m_L2C_neut,2983617.0,3
x_240m_O2H,2812157.0,3
x_30m_O2L,2751010.0,2
x_60m_Close_Diff_Rate,2675414.0,3
x_480m_OI_Chg,2672721.0,3
x_480m_PremiumDiff_neut,2506534.0,3
x_120m_L2C_neut,2357340.0,1
x_30m_PremiumDiff_neut,2278197.0,3
x_120m_Close_Diff_Rate_neut,2086247.0,2
x_120m_CrowdingPressure_neut,2042960.0,2
x_120m_L2C,1926044.0,2
x_60m_OI_Price_Ratio,1836923.0,2
x_60m_EffRatio,1770895.0,2
x_1m_Premium,1760180.0,2
x_30m_PremiumDiff,1660504.0,2
x_240m_O2L,1615008.0,2
x_240m_OI_Chg_neut,1587098.0,2
x_5m_O2L,1574791.0,2
x_1m_Premium_neut,1564930.0,1
x_15m_OI_Chg,1398940.0,1
x_240m_O2C,1294280.0,1
x_5m_C2VWAP,1253890.0,1
x_120m_O2L_neut,1233051.0,2
x_1m_H2C_neut,1133070.0,1
x_240m_PremiumDiff,902771.0,1
x_5m_PctB_neut,771486.0,1
x_60m_PremiumDiff_neut,748119.0,1
x_1440m_PremiumDiff,696725.0,1
x_240m_O2L_neut,686582.0,1
x_120m_H2L_Vol,678968.0,1
x_5m_O2C,675478.0,1
x_5m_PremiumDiff,664580.0,1
x_5m_O2H_neut,634956.0,1
x_480m_O2C_neut,586150.0,1
x_1m_H2L_Vol,543092.0,1
x_15m_O2L,535300.0,1
x_1m_O2H_neut,516386.0,1
x_5m_L2C_neut,0.0,0
x_5m_O2C_neut,0.0,0
x_5m_L2C,0.0,0
x_5m_H2C_neut,0.0,0
x_5m_O2L_neut,0.0,0
