feature,importance_gain,importance_split
x_60m_Vol_neut,241796242.0,143
x_120m_Vol_neut,229466037.0,114
x_480m_H2L_Vol,221798206.0,211
x_1440m_RVol,179575171.0,190
x_120m_H2L_Vol,175506652.0,198
x_1440m_NetTaker_neut,172543210.0,155
x_120m_Vol,166460924.0,84
x_5m_RatioSkew_neut,163513639.0,154
x_480m_L2C,159303129.0,148
x_240m_OI_P_Corr,157578811.0,137
x_1440m_H2C,157195644.0,132
x_720m_OI_XSkew,155152856.0,148
x_1440m_OI_Chg_neut,147440874.0,135
x_1440m_EffRatio_neut,146826039.0,108
x_1440m_Premium,145244346.0,148
x_720m_OI_Chg_neut,141140145.0,125
x_720m_H2L_Vol,140977920.0,171
x_720m_Close_Diff_Rate_neut,140805360.0,115
x_1440m_O2H,137030395.0,119
x_1440m_RatioSkewDiff_neut,133113938.0,92
x_120m_VolDiff_neut,130301313.0,125
x_480m_RatioSkewDiff_neut,130117048.0,121
x_720m_OI_Z_neut,126170514.0,108
x_1440m_O2H_neut,125435423.0,140
x_1440m_EffRatio,125099654.0,112
x_240m_O2C,119306740.0,108
x_720m_O2C_neut,118182428.0,88
x_1440m_L2C_neut,115414617.0,127
x_1440m_OI_Chg,114829885.0,116
x_720m_H2C_neut,111590709.0,71
x_720m_O2H,106515069.0,110
x_480m_NetTaker_neut,105858384.0,118
x_240m_O2H,105838827.0,112
x_1440m_O2L,102819999.0,116
x_1440m_H2C_neut,102437047.0,81
x_1440m_O2C_neut,100043479.0,135
x_720m_EffRatio,99634288.0,78
x_120m_H2C,96948044.0,117
x_60m_H2L_Vol_neut,95582260.0,124
x_120m_O2H,95300339.0,120
x_480m_L2C_neut,93961433.0,111
x_120m_OI_Chg_neut,93752712.0,114
x_480m_H2C_neut,93413822.0,70
x_60m_O2H_neut,93033934.0,72
x_15m_H2L_Vol,92975705.0,102
x_480m_O2H_neut,92684751.0,90
x_120m_Close_Diff_Rate,92103723.0,86
x_60m_OI_Chg_neut,91768259.0,87
x_240m_PctB_neut,91042045.0,69
x_1440m_OI_Price_Ratio_neut,90975965.0,77
x_240m_C2VWAP_neut,90550625.0,94
x_5m_WhaleGap,90395104.0,95
x_480m_OI_Chg,90124468.0,92
x_1440m_L2C,89922915.0,108
x_120m_H2C_neut,89642315.0,80
x_1440m_PctB_neut,88204711.0,91
x_120m_O2L,87328915.0,91
x_480m_O2C_neut,86536673.0,93
x_720m_O2L_neut,86390357.0,83
x_240m_O2H_neut,86026128.0,92
x_240m_O2L_neut,85494129.0,106
x_720m_O2H_neut,85349856.0,96
x_1440m_PremiumDiff,84903829.0,85
x_120m_NetTaker_neut,84592331.0,63
x_480m_EffRatio_neut,82018257.0,98
x_240m_EffRatio_neut,81727651.0,99
x_720m_OI_Price_Ratio_neut,80905074.0,90
x_60m_EffRatio,80075488.0,74
x_1m_Premium,78120288.0,77
x_720m_O2L,76505443.0,103
x_480m_EffRatio,74345187.0,81
x_5m_Premium_neut,74176566.0,74
x_120m_C2VWAP_neut,72283442.0,93
x_60m_OI_Price_Ratio,72279526.0,94
x_480m_O2L_neut,71613654.0,78
x_120m_OI_Chg,71121369.0,84
x_60m_Close_Diff_Rate,70495777.0,65
x_60m_O2L,70382467.0,86
x_60m_OI_Chg,68021651.0,62
x_60m_O2H,67952865.0,72
x_720m_OI_Z,67737141.0,73
x_60m_H2C,66976996.0,79
x_120m_CrowdingPressure_neut,66564374.0,72
x_15m_OI_Chg,66246320.0,64
x_240m_O2L,65642302.0,77
x_5m_RVol,64745539.0,90
x_60m_O2L_neut,64603529.0,71
x_480m_PremiumDiff,63833564.0,75
x_240m_NetTaker_neut,63357587.0,71
x_5m_H2L_Vol_neut,62188861.0,94
x_120m_O2H_neut,62151364.0,64
x_60m_PremiumDiff_neut,61732314.0,66
x_30m_O2C,61367963.0,72
x_30m_O2H,60024109.0,70
x_15m_RatioSkewDiff_neut,59389345.0,66
x_5m_RVol_neut,57382432.0,78
x_1440m_O2L_neut,56402599.0,80
x_1440m_PremiumDiff_neut,56384357.0,55
x_120m_L2C,54940820.0,83
x_5m_H2C,54927300.0,57
x_720m_PremiumDiff,54842189.0,70
x_240m_OI_Chg_neut,54507054.0,67
x_30m_L2C_neut,54290411.0,66
x_120m_O2L_neut,53905698.0,60
x_480m_Close_Diff_Rate,53457327.0,63
x_1440m_Close_Diff_Rate_neut,52779029.0,81
x_30m_O2L_neut,52095150.0,55
x_720m_OI_Price_Ratio,51865730.0,61
x_5m_L2C,50093038.0,64
x_60m_EffRatio_neut,50005343.0,55
x_1m_Premium_neut,49461931.0,54
x_480m_O2L,48781614.0,69
x_60m_PremiumDiff,48729130.0,47
x_30m_PremiumDiff,48573858.0,45
x_480m_PremiumDiff_neut,48089553.0,59
x_15m_O2L_neut,47355656.0,60
x_120m_L2C_neut,47027918.0,68
x_240m_OI_Chg,46220451.0,65
x_1440m_PctB,46013580.0,55
x_15m_OI_Chg_neut,45383543.0,35
x_30m_OI_Chg_neut,45303520.0,51
x_1m_H2C,44577358.0,50
x_30m_OI_Chg,43498701.0,60
x_15m_L2C,43245677.0,52
x_15m_PremiumDiff_neut,43002297.0,58
x_240m_PremiumDiff,42735230.0,60
x_240m_PremiumDiff_neut,42044576.0,49
x_15m_H2C,41946394.0,51
x_30m_O2H_neut,41700808.0,63
x_1m_H2L_Vol,41365091.0,47
x_1m_H2L_Vol_neut,41225706.0,56
x_720m_PremiumDiff_neut,40671759.0,65
x_15m_O2L,40559444.0,49
x_15m_PremiumDiff,39129306.0,49
x_120m_PremiumDiff,39124183.0,53
x_5m_C2VWAP,38331390.0,43
