feature,importance_gain,importance_split
x_1440m_L2C_neut,13204024.0,11
x_1440m_O2H,13004529.0,11
x_1440m_H2C,11475820.0,9
x_1440m_OI_Price_Ratio_neut,11156903.0,7
x_1440m_O2L,10284236.0,8
x_1440m_NetTaker_neut,9437503.0,7
x_120m_H2L_Vol,8995449.0,7
x_1440m_Premium,8322668.0,3
x_1440m_H2C_neut,8125262.0,6
x_720m_Close_Diff_Rate_neut,7957485.0,3
x_60m_Vol_neut,7762360.0,3
x_480m_NetTaker_neut,7628855.0,6
x_1440m_OI_Chg_neut,7623872.0,5
x_480m_RatioSkewDiff_neut,7519588.0,5
x_240m_C2VWAP_neut,7158367.0,5
x_1440m_RatioSkewDiff_neut,6764544.0,6
x_120m_Close_Diff_Rate_neut,6523195.0,5
x_60m_OI_Price_Ratio,6432856.0,5
x_480m_OI_Chg,6206645.0,4
x_15m_H2L_Vol,5810334.0,4
x_480m_L2C_neut,5778746.0,5
x_1440m_Close_Diff_Rate_neut,5654250.0,5
x_1440m_O2H_neut,5650575.0,7
x_480m_Close_Diff_Rate,5510320.0,4
x_720m_OI_Chg_neut,5423382.0,5
x_60m_Close_Diff_Rate,5088250.0,2
x_480m_EffRatio,5075570.0,1
x_15m_O2L,5036556.0,5
x_240m_O2H,4846455.0,5
x_120m_VolDiff_neut,4580330.0,3
x_240m_OI_P_Corr,4525011.0,5
x_60m_H2L_Vol_neut,4397576.0,4
x_1m_H2L_Vol,4394961.0,3
x_120m_NetTaker_neut,4318924.0,3
x_60m_EffRatio_neut,4260400.0,2
x_5m_O2H_neut,4255616.0,3
x_5m_RatioSkew_neut,4155921.0,5
x_120m_OI_Chg_neut,4087994.0,6
x_120m_Close_Diff_Rate,4073560.0,4
x_240m_EffRatio_neut,4065583.0,2
x_480m_O2H_neut,4047571.0,6
x_720m_OI_Price_Ratio_neut,4043590.0,3
x_30m_O2L_neut,3811769.0,4
x_240m_O2L,3743867.0,2
x_720m_O2H,3725668.0,4
x_720m_O2L_neut,3620739.0,4
x_720m_O2L,3586056.0,3
x_1m_H2C_neut,3562180.0,3
x_30m_PremiumDiff,3495589.0,3
x_120m_O2L_neut,3427150.0,2
x_720m_OI_XSkew,3382847.0,4
x_15m_H2C,3378092.0,3
x_120m_OI_Chg,3364741.0,3
x_240m_PremiumDiff,3280819.0,5
x_1440m_EffRatio,3212793.0,3
x_480m_PremiumDiff_neut,3179954.0,3
x_240m_O2H_neut,3148522.0,3
x_720m_EffRatio,3112426.0,3
x_240m_O2C,2996242.0,4
x_480m_H2L_Vol,2988016.0,4
x_120m_L2C,2959010.0,1
x_240m_PctB_neut,2936770.0,1
x_15m_RatioSkewDiff_neut,2853386.0,3
x_1440m_EffRatio_neut,2811503.0,5
x_60m_PremiumDiff_neut,2792332.0,3
x_5m_O2L_neut,2674908.0,2
x_120m_C2VWAP_neut,2671741.0,3
x_1440m_PctB,2644691.0,3
x_480m_L2C,2567082.0,3
x_1440m_OI_Chg,2520180.0,3
x_60m_EffRatio,2432210.0,2
x_30m_OI_Chg,2400050.0,2
x_5m_RVol,2384862.0,2
x_120m_PremiumDiff_neut,2353604.0,3
x_1440m_L2C,2155990.0,3
x_5m_O2L,2134056.0,2
x_15m_O2H_neut,2108750.0,1
x_1m_L2C,2090543.0,3
x_5m_RVol_neut,2072620.0,1
x_720m_OI_Z,2014794.0,3
x_5m_L2C,1982541.0,2
x_240m_NetTaker_neut,1937790.0,1
x_30m_O2C,1889874.0,2
x_720m_H2L_Vol,1835083.0,2
x_30m_PremiumDiff_neut,1817009.0,3
x_30m_O2H,1792000.0,3
x_1440m_RVol,1605540.0,2
x_1m_O2H_neut,1564544.0,3
x_5m_H2L_Vol_neut,1503022.0,2
x_5m_O2H,1428920.0,1
x_240m_PremiumDiff_neut,1428409.0,2
x_60m_OI_Chg,1397116.0,2
x_480m_EffRatio_neut,1385930.0,1
x_5m_C2VWAP_neut,1346800.0,1
x_120m_O2H_neut,1313610.0,1
x_5m_WhaleGap,1245169.0,2
x_15m_PremiumDiff,1221620.0,2
x_15m_PremiumDiff_neut,1195372.0,2
x_120m_L2C_neut,1171614.0,2
x_15m_OI_Chg,1161960.0,1
x_60m_O2L_neut,1157699.0,2
x_1m_H2L_Vol_neut,1134349.0,2
x_720m_PremiumDiff_neut,1089343.0,3
x_5m_PremiumDiff_neut,1049220.0,1
x_1440m_PremiumDiff,1041500.0,1
x_5m_O2C,1029517.0,2
