feature,importance_gain,importance_split
x_1440m_RVol,79973930.0,110
x_15m_H2L_Vol,67317963.0,91
x_1440m_O2H,66584037.0,85
x_1440m_L2C_neut,64919004.0,117
x_120m_H2L_Vol,61425476.0,101
x_1440m_NetTaker_neut,58977371.0,86
x_1440m_RatioSkewDiff_neut,57577694.0,72
x_60m_H2L_Vol_neut,51775811.0,86
x_5m_RatioSkew_neut,48653768.0,90
x_480m_EffRatio_neut,48000611.0,64
x_120m_VolDiff_neut,43762024.0,64
x_1440m_H2C,43317658.0,71
x_1440m_Premium,42875704.0,62
x_1440m_OI_Chg_neut,42719602.0,59
x_480m_RatioSkewDiff_neut,42163378.0,69
x_120m_O2H,40420124.0,75
x_1440m_O2H_neut,39383924.0,77
x_60m_Vol_neut,38914750.0,57
x_720m_OI_Z_neut,38581997.0,59
x_1440m_O2L,36818797.0,63
x_240m_OI_P_Corr,36748524.0,67
x_1440m_O2C_neut,36725489.0,68
x_480m_NetTaker_neut,36697894.0,50
x_120m_OI_Chg_neut,35602850.0,66
x_240m_EffRatio_neut,35469947.0,49
x_480m_L2C_neut,34630315.0,57
x_1440m_L2C,34463325.0,55
x_720m_EffRatio,34025422.0,60
x_720m_H2L_Vol,33869778.0,53
x_120m_L2C_neut,33768213.0,49
x_480m_H2L_Vol,32414933.0,63
x_120m_CrowdingPressure_neut,32178382.0,53
x_720m_OI_XSkew,31808263.0,66
x_1440m_EffRatio,31787095.0,76
x_480m_Close_Diff_Rate,31784429.0,46
x_1440m_OI_Chg,31288855.0,54
x_5m_WhaleGap,31117741.0,61
x_60m_OI_Price_Ratio,30834963.0,50
x_480m_O2L,30589339.0,47
x_240m_O2L,30485453.0,44
x_240m_C2VWAP_neut,30075489.0,54
x_240m_O2H,29760977.0,60
x_1440m_Close_Diff_Rate_neut,28828560.0,40
x_720m_OI_Chg_neut,28686352.0,47
x_720m_O2L_neut,28601731.0,66
x_720m_O2L,27620598.0,52
x_1440m_PctB,27058694.0,48
x_1440m_PctB_neut,26770097.0,47
x_30m_O2H,26621858.0,51
x_1440m_OI_Price_Ratio_neut,26618848.0,42
x_720m_O2C_neut,26332448.0,44
x_720m_O2H_neut,26277288.0,45
x_240m_O2L_neut,26223659.0,57
x_240m_NetTaker_neut,25939571.0,31
x_120m_OI_Chg,25910196.0,54
x_240m_OI_Chg_neut,25900949.0,44
x_720m_Close_Diff_Rate_neut,25738077.0,41
x_720m_OI_Price_Ratio_neut,25622546.0,38
x_480m_O2H_neut,25293921.0,61
x_720m_O2H,24906460.0,43
x_1440m_H2C_neut,24762081.0,40
x_120m_O2L_neut,24150188.0,36
x_240m_O2C,24069609.0,50
x_60m_EffRatio,23791026.0,37
x_480m_EffRatio,23593248.0,36
x_720m_H2C_neut,23503854.0,48
x_120m_L2C,23448563.0,38
x_720m_OI_Z,23397189.0,45
x_5m_L2C,22873069.0,47
x_240m_PctB_neut,22759076.0,33
x_240m_O2H_neut,22588750.0,41
