feature,importance_gain,importance_split
x_1440m_RVol,537140947.0,494
x_5m_RatioSkew_neut,415996572.0,302
x_1440m_O2L,369428103.0,344
x_480m_RatioSkewDiff_neut,361385027.0,360
x_720m_OI_XSkew,357829621.0,363
x_480m_NetTaker_neut,336173591.0,307
x_1440m_Premium,335984590.0,294
x_1440m_NetTaker_neut,325078040.0,335
x_120m_NetTaker_neut,308001279.0,246
x_120m_O2H,307067943.0,305
x_240m_NetTaker_neut,296727406.0,251
x_720m_EffRatio,291552861.0,268
x_240m_O2H_neut,284898483.0,242
x_480m_H2L_Vol,283535340.0,303
x_120m_Vol,283293613.0,232
x_1440m_OI_Chg,281446890.0,277
x_1440m_O2H_neut,280665267.0,334
x_1440m_O2L_neut,279332959.0,297
x_240m_OI_P_Corr,278295244.0,303
x_1440m_L2C_neut,271493877.0,299
x_15m_H2L_Vol,265806031.0,291
x_720m_OI_Price_Ratio_neut,263849055.0,246
x_720m_H2L_Vol,263779905.0,281
x_120m_H2L_Vol,262562137.0,282
x_120m_VolDiff_neut,262343961.0,277
x_5m_WhaleGap,258208163.0,237
x_1440m_EffRatio,257923148.0,261
x_1440m_OI_Chg_neut,257101418.0,276
x_720m_O2L,255470269.0,262
x_240m_EffRatio_neut,254914749.0,236
x_480m_OI_Chg,251630831.0,269
x_120m_O2L_neut,250488407.0,254
x_480m_PremiumDiff,250298524.0,283
x_60m_Vol_neut,249472134.0,285
x_480m_EffRatio_neut,247825643.0,243
x_1440m_H2C_neut,247566286.0,192
x_720m_PremiumDiff,246984568.0,258
x_720m_OI_Z_neut,246015810.0,243
x_1440m_OI_Price_Ratio_neut,245292305.0,234
x_1440m_EffRatio_neut,244414081.0,263
x_1440m_L2C,244090731.0,282
x_15m_RatioSkewDiff_neut,244069020.0,256
x_120m_Vol_neut,241958575.0,237
x_60m_OI_Price_Ratio,241801218.0,272
x_480m_EffRatio,241737451.0,235
x_480m_L2C,240515372.0,259
x_30m_O2L_neut,235360901.0,201
x_480m_O2L,235202896.0,250
x_1440m_PremiumDiff,231384047.0,265
x_240m_O2L,230268374.0,222
x_120m_H2C,229073723.0,253
x_240m_PctB_neut,225191067.0,201
x_120m_L2C,224592413.0,253
x_60m_H2L_Vol_neut,224581040.0,183
x_60m_EffRatio,223670466.0,216
x_1440m_H2C,223619945.0,213
