feature,importance_gain,importance_split
x_1440m_RVol,520993709.0,378
x_1440m_Premium,375486668.0,253
x_1440m_NetTaker_neut,322323349.0,222
x_480m_RatioSkewDiff_neut,314996282.0,213
x_480m_H2L_Vol,309579094.0,267
x_5m_WhaleGap,309001221.0,193
x_5m_RatioSkew_neut,298194158.0,208
x_720m_H2L_Vol,266602078.0,224
x_480m_NetTaker_neut,251695528.0,171
x_1440m_O2L,242772605.0,179
x_1440m_OI_Chg,240861763.0,201
x_480m_OI_Chg,240475626.0,191
x_480m_O2H_neut,240314133.0,205
x_120m_H2L_Vol,223093468.0,193
x_1440m_RatioSkewDiff_neut,216254152.0,173
x_120m_VolDiff_neut,205997174.0,170
x_120m_Vol_neut,205549876.0,153
x_720m_OI_Price_Ratio_neut,204841829.0,125
x_1440m_OI_Price_Ratio_neut,204363317.0,123
x_720m_O2L_neut,202470588.0,171
x_1440m_O2H_neut,198065118.0,172
x_240m_NetTaker_neut,194914319.0,127
x_1440m_H2C,194603023.0,165
x_240m_OI_P_Corr,194077687.0,149
x_480m_EffRatio_neut,193542619.0,163
x_1440m_O2L_neut,193141582.0,166
x_120m_O2H_neut,192268321.0,167
x_720m_OI_XSkew,191628950.0,147
x_1440m_OI_Chg_neut,190076710.0,165
x_240m_O2H_neut,187292694.0,132
x_1440m_L2C_neut,185797562.0,162
x_480m_L2C,182644254.0,150
x_1440m_O2H,182528843.0,168
x_1440m_L2C,181617698.0,163
x_480m_L2C_neut,180512212.0,150
x_120m_Vol,179405944.0,127
x_240m_PctB_neut,177257022.0,118
x_1440m_EffRatio,174696828.0,127
x_120m_CrowdingPressure_neut,172453301.0,140
x_120m_L2C,171569394.0,147
x_240m_O2L,168880781.0,114
x_120m_NetTaker_neut,167181200.0,118
x_720m_O2H,166952804.0,144
x_120m_O2H,165190910.0,141
x_720m_O2C_neut,164842319.0,169
x_720m_O2L,164453095.0,134
x_120m_L2C_neut,162037826.0,137
x_15m_H2L_Vol,160944381.0,148
x_720m_OI_Price_Ratio,159201524.0,122
x_720m_EffRatio,156063423.0,115
x_480m_O2L,154989670.0,133
x_1440m_H2C_neut,154646017.0,128
x_120m_Close_Diff_Rate,151449292.0,130
x_480m_O2L_neut,150184720.0,126
x_240m_O2H,150010627.0,148
