feature,importance_gain,importance_split
x_480m_H2L_Vol,5152251.0,11
x_1440m_RVol,5045239.0,10
x_1440m_OI_Chg_neut,3630578.0,3
x_1440m_O2L_neut,3586064.0,3
x_120m_L2C_neut,3185917.0,5
x_1440m_NetTaker_neut,3151862.0,4
x_1440m_RatioSkewDiff_neut,2802363.0,2
x_5m_H2L_Vol_neut,2579554.0,3
x_120m_C2VWAP_neut,2344182.0,3
x_480m_OI_Chg,2262022.0,3
x_480m_L2C_neut,2115801.0,2
x_15m_H2C,1951907.0,4
x_120m_PremiumDiff_neut,1808123.0,2
x_1440m_H2C_neut,1759381.0,2
x_120m_L2C,1578583.0,4
x_1440m_Close_Diff_Rate_neut,1469125.0,4
x_120m_Vol_neut,1412104.0,4
x_1m_H2C,1148222.0,2
x_240m_EffRatio_neut,1136757.0,2
x_120m_Close_Diff_Rate,1105428.0,2
x_1440m_Premium,1079439.0,2
x_5m_PremiumDiff,1073298.0,2
x_480m_L2C,998527.0,3
x_720m_OI_XSkew,907310.0,3
x_1440m_O2L,890598.0,3
x_120m_OI_Chg_neut,844446.0,2
x_1440m_PctB,783355.0,2
x_60m_H2L_Vol_neut,776750.0,2
x_5m_C2VWAP,726130.0,2
x_1m_H2C_neut,673752.0,2
x_240m_O2H,580275.0,2
x_5m_RVol_neut,558705.0,2
x_60m_H2C,556333.0,1
x_240m_O2L,483038.0,1
x_1m_H2L_Vol,470038.0,2
x_120m_CrowdingPressure_neut,392853.0,1
x_1m_Premium_neut,391470.0,1
x_15m_OI_Chg,344867.0,1
x_60m_O2L,342109.0,1
x_720m_OI_Price_Ratio_neut,335766.0,1
x_480m_PremiumDiff,326573.0,1
x_15m_O2L,322624.0,1
x_5m_C2VWAP_neut,318969.0,1
x_120m_Vol,300574.0,1
x_60m_OI_Price_Ratio,291897.0,1
x_240m_PremiumDiff,271260.0,1
x_30m_PremiumDiff_neut,264816.0,1
x_5m_H2C,246186.0,1
x_5m_O2C_neut,229523.0,1
x_480m_PremiumDiff_neut,218901.0,1
x_15m_O2H_neut,216213.0,1
x_720m_OI_Z,214625.0,1
x_60m_O2L_neut,173548.0,1
x_1440m_EffRatio,169987.0,1
x_240m_OI_P_Corr,169283.0,1
x_60m_EffRatio_neut,0.0,0
x_60m_Vol_neut,0.0,0
x_60m_OI_Chg_neut,0.0,0
x_5m_H2C_neut,0.0,0
x_720m_O2H,0.0,0
x_720m_OI_Z_neut,0.0,0
x_60m_PremiumDiff,0.0,0
x_60m_PremiumDiff_neut,0.0,0
x_480m_RatioSkewDiff_neut,0.0,0
x_60m_OI_Chg,0.0,0
x_720m_O2C_neut,0.0,0
x_720m_Close_Diff_Rate_neut,0.0,0
x_720m_EffRatio,0.0,0
x_480m_O2L_neut,0.0,0
x_480m_O2L,0.0,0
x_480m_O2H_neut,0.0,0
x_480m_O2C_neut,0.0,0
x_480m_NetTaker_neut,0.0,0
x_720m_PremiumDiff,0.0,0
x_5m_L2C,0.0,0
x_5m_L2C_neut,0.0,0
x_720m_OI_Chg_neut,0.0,0
x_5m_Premium_neut,0.0,0
x_60m_EffRatio,0.0,0
x_60m_Close_Diff_Rate,0.0,0
x_5m_WhaleGap,0.0,0
x_5m_RatioSkew_neut,0.0,0
x_60m_O2H,0.0,0
x_5m_RVol,0.0,0
x_720m_OI_Price_Ratio,0.0,0
x_60m_O2H_neut,0.0,0
x_720m_H2C_neut,0.0,0
x_5m_PremiumDiff_neut,0.0,0
x_5m_O2C,0.0,0
x_720m_O2L_neut,0.0,0
x_5m_PctB_neut,0.0,0
x_5m_OI_Chg,0.0,0
x_5m_O2L_neut,0.0,0
x_5m_O2L,0.0,0
x_5m_O2H_neut,0.0,0
x_5m_O2H,0.0,0
x_720m_O2L,0.0,0
x_720m_O2H_neut,0.0,0
x_720m_H2L_Vol,0.0,0
x_240m_PctB_neut,0.0,0
x_480m_H2C_neut,0.0,0
x_1440m_L2C_neut,0.0,0
x_15m_OI_Chg_neut,0.0,0
x_15m_O2L_neut,0.0,0
x_15m_O2H,0.0,0
x_15m_L2C,0.0,0
x_15m_H2L_Vol,0.0,0
x_15m_H2C_neut,0.0,0
x_1440m_PremiumDiff_neut,0.0,0
x_1440m_PremiumDiff,0.0,0
x_1440m_PctB_neut,0.0,0
x_1440m_OI_Price_Ratio_neut,0.0,0
x_1440m_OI_Chg,0.0,0
x_1440m_O2H_neut,0.0,0
x_1440m_O2H,0.0,0
x_1440m_O2C_neut,0.0,0
x_1440m_L2C,0.0,0
x_480m_EffRatio_neut,0.0,0
x_1440m_H2C,0.0,0
x_1440m_EffRatio_neut,0.0,0
x_120m_VolDiff_neut,0.0,0
x_120m_PremiumDiff,0.0,0
x_120m_OI_Chg,0.0,0
x_120m_O2L_neut,0.0,0
x_120m_O2L,0.0,0
x_120m_O2H_neut,0.0,0
x_120m_O2H,0.0,0
x_120m_NetTaker_neut,0.0,0
x_120m_H2L_Vol,0.0,0
x_120m_H2C_neut,0.0,0
x_120m_H2C,0.0,0
x_120m_Close_Diff_Rate_neut,0.0,0
x_15m_PremiumDiff,0.0,0
x_15m_PremiumDiff_neut,0.0,0
x_15m_RatioSkewDiff_neut,0.0,0
x_1m_C2VWAP,0.0,0
x_480m_EffRatio,0.0,0
x_480m_Close_Diff_Rate,0.0,0
x_30m_PremiumDiff,0.0,0
x_30m_OI_Chg_neut,0.0,0
x_30m_OI_Chg,0.0,0
x_30m_O2L_neut,0.0,0
x_30m_O2L,0.0,0
x_30m_O2H_neut,0.0,0
x_30m_O2H,0.0,0
x_30m_O2C,0.0,0
x_30m_L2C_neut,0.0,0
x_240m_PremiumDiff_neut,0.0,0
x_240m_OI_Chg_neut,0.0,0
x_240m_OI_Chg,0.0,0
x_240m_O2L_neut,0.0,0
x_240m_O2H_neut,0.0,0
x_240m_O2C,0.0,0
x_240m_NetTaker_neut,0.0,0
x_240m_C2VWAP_neut,0.0,0
x_1m_PremiumDiff_neut,0.0,0
x_1m_PremiumDiff,0.0,0
x_1m_Premium,0.0,0
x_1m_O2L_neut,0.0,0
x_1m_O2L,0.0,0
x_1m_O2H_neut,0.0,0
x_1m_L2C_neut,0.0,0
x_1m_L2C,0.0,0
x_1m_H2L_Vol_neut,0.0,0
x_1m_C2VWAP_neut,0.0,0
x_720m_PremiumDiff_neut,0.0,0
