feature,importance_gain,importance_split
x_120m_Vol_neut,358623352.0,67
x_60m_Vol_neut,282840163.0,39
x_120m_Vol,178900570.0,35
x_720m_H2C_neut,172638260.0,36
x_5m_RatioSkew_neut,156115366.0,43
x_1440m_RVol,153067908.0,64
x_1440m_H2C,149801196.0,43
x_1440m_H2C_neut,147316834.0,45
x_1440m_RatioSkewDiff_neut,136918154.0,38
x_480m_H2C_neut,134507442.0,34
x_1440m_NetTaker_neut,133147909.0,37
x_240m_O2H,121734038.0,45
x_120m_NetTaker_neut,118370589.0,24
x_1440m_Premium,118106369.0,60
x_1440m_OI_Chg_neut,111983375.0,38
x_480m_H2L_Vol,111136700.0,41
x_720m_O2C_neut,103716942.0,36
x_240m_OI_P_Corr,99120340.0,36
x_5m_WhaleGap,96200319.0,28
x_120m_H2C,93909572.0,26
x_720m_O2H_neut,93387974.0,32
x_240m_O2H_neut,92969635.0,36
x_120m_H2L_Vol,92590149.0,45
x_240m_O2C,91802630.0,31
x_720m_OI_Z_neut,91585568.0,25
x_1440m_EffRatio_neut,91198479.0,33
x_1440m_O2H_neut,87477214.0,35
x_30m_PremiumDiff,86946539.0,20
x_120m_VolDiff_neut,86310660.0,25
x_120m_H2C_neut,86215099.0,28
x_480m_RatioSkewDiff_neut,82030863.0,31
x_1440m_EffRatio,81557740.0,22
x_480m_L2C,80910025.0,37
x_720m_OI_XSkew,79054790.0,25
x_720m_H2L_Vol,77883477.0,35
x_480m_L2C_neut,77536618.0,36
x_60m_Close_Diff_Rate,75202257.0,20
x_60m_OI_Chg_neut,73877256.0,28
x_1440m_PremiumDiff,73378291.0,17
x_1440m_L2C_neut,73199616.0,32
x_240m_EffRatio_neut,72941148.0,19
x_60m_PremiumDiff_neut,71672699.0,19
x_1440m_O2H,69923445.0,36
x_720m_Close_Diff_Rate_neut,68335665.0,27
x_720m_O2L_neut,68121520.0,34
x_5m_H2C,67170140.0,11
x_720m_PremiumDiff,63620238.0,18
x_1440m_OI_Chg,63525140.0,25
x_15m_H2L_Vol,62217518.0,23
x_720m_OI_Chg_neut,60857469.0,22
x_720m_O2H,58795132.0,26
x_720m_EffRatio,56239362.0,19
x_1440m_O2L,56042182.0,22
x_1440m_L2C,55880721.0,25
x_240m_O2L_neut,53966560.0,25
x_480m_O2C_neut,53965101.0,24
x_480m_OI_Chg,53731855.0,21
x_60m_H2L_Vol_neut,52687144.0,27
x_480m_EffRatio,51948982.0,19
x_1440m_PctB_neut,50514403.0,14
x_60m_O2H,50318680.0,25
x_120m_OI_Chg,47697070.0,13
x_240m_OI_Chg,47136365.0,24
x_15m_OI_Chg_neut,45945760.0,10
x_120m_O2H,45080711.0,26
x_480m_EffRatio_neut,44890160.0,21
x_720m_OI_Price_Ratio_neut,44383386.0,18
x_720m_OI_Price_Ratio,43927570.0,18
x_120m_CrowdingPressure_neut,43402182.0,20
x_120m_O2L,41669420.0,12
x_480m_PremiumDiff_neut,41580990.0,12
x_1m_Premium,40598590.0,15
x_120m_O2H_neut,40403820.0,15
x_240m_NetTaker_neut,39956861.0,16
x_120m_OI_Chg_neut,39551651.0,17
x_120m_L2C_neut,38957901.0,16
x_720m_O2L,38609230.0,22
x_720m_OI_Z,38462581.0,20
x_480m_NetTaker_neut,38172825.0,20
x_1440m_O2L_neut,37501884.0,19
x_1440m_PremiumDiff_neut,37473300.0,12
x_30m_O2H,36990505.0,19
x_120m_O2L_neut,36882740.0,19
x_480m_Close_Diff_Rate,36761363.0,14
x_240m_C2VWAP_neut,36601300.0,15
x_240m_O2L,36054663.0,17
x_120m_C2VWAP_neut,35975831.0,17
x_1440m_O2C_neut,35584280.0,10
x_120m_Close_Diff_Rate_neut,34203599.0,14
x_60m_PremiumDiff,34135890.0,14
x_1m_Premium_neut,33716470.0,14
x_15m_OI_Chg,33234267.0,9
x_60m_O2H_neut,33132170.0,14
x_120m_L2C,33077354.0,14
x_60m_OI_Chg,32951796.0,16
x_5m_Premium_neut,32267142.0,19
x_60m_EffRatio,31739690.0,14
x_480m_O2H_neut,31281980.0,14
x_480m_O2L_neut,31225382.0,20
x_5m_PremiumDiff_neut,29580174.0,9
x_60m_O2L,29113900.0,9
x_240m_OI_Chg_neut,29012450.0,12
x_15m_H2C_neut,27892483.0,17
x_60m_O2L_neut,27486158.0,14
x_1m_H2L_Vol_neut,27373471.0,12
x_30m_L2C_neut,27353706.0,12
x_15m_RatioSkewDiff_neut,27254360.0,11
x_30m_PremiumDiff_neut,27065676.0,8
x_240m_PctB_neut,26916093.0,17
x_60m_H2C,26558580.0,10
x_1m_H2L_Vol,25491200.0,10
x_5m_RVol,25487295.0,16
x_15m_O2L_neut,25159733.0,9
x_15m_L2C,24164933.0,12
x_240m_PremiumDiff_neut,23659760.0,9
x_60m_OI_Price_Ratio,23125802.0,11
x_5m_L2C_neut,22847706.0,6
x_1440m_OI_Price_Ratio_neut,22055792.0,15
x_15m_O2L,21998270.0,8
x_1440m_Close_Diff_Rate_neut,21900136.0,12
x_5m_H2C_neut,21417360.0,5
x_1m_L2C_neut,21028530.0,6
x_480m_O2L,20780864.0,12
x_5m_C2VWAP_neut,20662000.0,7
x_120m_PremiumDiff,18696074.0,8
x_1m_L2C,17827910.0,7
x_5m_O2C_neut,16689301.0,10
x_30m_O2H_neut,16601008.0,7
x_1m_O2L_neut,16346570.0,9
x_120m_PremiumDiff_neut,16252732.0,8
x_120m_Close_Diff_Rate,15062350.0,10
x_30m_OI_Chg,14987300.0,8
x_720m_PremiumDiff_neut,14795778.0,7
x_15m_H2C,14744250.0,8
x_1440m_PctB,14743011.0,7
x_5m_OI_Chg,14557520.0,6
x_5m_L2C,14354080.0,8
x_5m_H2L_Vol_neut,14318810.0,9
x_1m_PremiumDiff_neut,13422360.0,6
x_60m_EffRatio_neut,12802940.0,6
x_5m_RVol_neut,11795814.0,8
x_1m_H2C_neut,11795623.0,6
x_15m_PremiumDiff,11489565.0,9
x_5m_O2H,11487970.0,4
x_15m_O2H_neut,10799586.0,8
x_15m_O2H,10765125.0,8
x_1m_O2H_neut,10552730.0,4
x_30m_O2L,10543670.0,4
x_480m_PremiumDiff,9557888.0,7
x_30m_O2L_neut,9441056.0,6
x_5m_O2L,9437791.0,6
x_30m_O2C,9247324.0,5
x_30m_OI_Chg_neut,8668490.0,5
x_1m_C2VWAP_neut,8499074.0,5
x_1m_C2VWAP,7748060.0,4
x_1m_H2C,7740927.0,6
x_5m_PctB_neut,7555600.0,4
x_5m_O2C,7309250.0,2
x_1m_O2L,7236300.0,5
x_240m_PremiumDiff,6887755.0,6
x_15m_PremiumDiff_neut,6853936.0,4
x_1m_PremiumDiff,5582800.0,3
x_5m_C2VWAP,4010140.0,3
