feature,importance_gain,importance_split
x_1440m_RVol,62688381.0,43
x_60m_Vol_neut,58009603.0,22
x_240m_O2H,50215361.0,29
x_120m_Vol_neut,42920166.0,15
x_1440m_Premium,39288663.0,27
x_1440m_H2C_neut,35336210.0,17
x_480m_H2L_Vol,34047146.0,22
x_720m_H2C_neut,33620849.0,8
x_240m_OI_P_Corr,32884571.0,18
x_1440m_EffRatio,29309408.0,13
x_720m_Close_Diff_Rate_neut,29003759.0,18
x_1440m_H2C,28341305.0,17
x_1440m_RatioSkewDiff_neut,27519210.0,9
x_1440m_L2C_neut,27255639.0,18
x_1440m_NetTaker_neut,25506344.0,13
x_15m_H2L_Vol,24505895.0,17
x_1440m_O2H,23687928.0,19
x_720m_O2L_neut,22714403.0,15
x_720m_OI_Z_neut,22688549.0,17
x_120m_Close_Diff_Rate_neut,22305305.0,17
x_240m_O2L_neut,22001189.0,18
x_120m_VolDiff_neut,21791852.0,15
x_60m_O2L,21658649.0,10
x_1440m_OI_Chg_neut,21085769.0,12
x_480m_RatioSkewDiff_neut,20392431.0,10
x_480m_L2C,20176310.0,8
x_120m_Vol,19713016.0,5
x_240m_O2C,19240376.0,13
x_1440m_EffRatio_neut,18749334.0,7
x_720m_H2L_Vol,17831163.0,12
x_30m_PremiumDiff_neut,17728034.0,9
x_480m_O2C_neut,17439250.0,7
x_60m_H2C,17026089.0,6
x_480m_H2C_neut,17008507.0,11
x_120m_H2C_neut,16876683.0,7
x_30m_PremiumDiff,16743439.0,7
x_60m_O2L_neut,15988887.0,10
x_1440m_O2H_neut,15830692.0,16
x_720m_O2C_neut,15826753.0,10
x_480m_NetTaker_neut,15763793.0,11
x_30m_O2H,15103020.0,13
x_120m_L2C,15096955.0,12
x_60m_OI_Chg_neut,14812286.0,9
x_120m_CrowdingPressure_neut,14772814.0,9
x_5m_H2C_neut,14685265.0,6
x_720m_O2H_neut,14667365.0,11
x_120m_O2H,14473234.0,14
x_5m_L2C,13976234.0,11
x_60m_H2L_Vol_neut,13970869.0,17
x_480m_PremiumDiff_neut,13696054.0,11
x_1440m_PctB_neut,13679534.0,7
x_120m_H2L_Vol,13641488.0,12
x_720m_OI_Chg_neut,13632414.0,12
x_30m_L2C_neut,13220328.0,8
x_60m_O2H,13164857.0,13
x_120m_O2H_neut,13152287.0,9
x_240m_PctB_neut,13116126.0,6
x_5m_RatioSkew_neut,12885519.0,10
x_1440m_PctB,12571863.0,6
x_120m_OI_Chg_neut,12461179.0,11
x_1440m_O2L,12430315.0,10
x_120m_O2L_neut,12261551.0,9
x_1440m_O2L_neut,12193645.0,10
x_60m_Close_Diff_Rate,12193302.0,6
x_480m_OI_Chg,11892093.0,10
x_1440m_PremiumDiff,11722776.0,9
x_1m_Premium,11483329.0,9
x_1m_O2L,11425822.0,3
x_1m_H2L_Vol,11292595.0,9
x_5m_L2C_neut,11204676.0,7
x_240m_PremiumDiff_neut,11097089.0,5
x_720m_OI_XSkew,10994376.0,9
x_480m_Close_Diff_Rate,10813097.0,10
x_720m_O2H,10730102.0,10
x_480m_L2C_neut,10721858.0,9
x_5m_H2L_Vol_neut,10511687.0,9
x_1440m_OI_Price_Ratio_neut,10466730.0,6
x_720m_OI_Z,10408301.0,5
x_480m_O2L_neut,10372276.0,10
x_5m_RVol_neut,10148084.0,9
x_15m_O2L,10112425.0,6
x_240m_O2H_neut,9629607.0,9
x_720m_OI_Price_Ratio,9628329.0,9
x_5m_PremiumDiff_neut,9594207.0,7
x_30m_O2L_neut,9574293.0,9
x_60m_EffRatio,9334742.0,5
x_240m_EffRatio_neut,9072785.0,8
x_5m_RVol,9064679.0,6
x_1440m_L2C,8786481.0,9
x_15m_OI_Chg,8756297.0,5
x_1440m_OI_Chg,8704331.0,7
x_60m_EffRatio_neut,8574341.0,7
x_240m_C2VWAP_neut,8379862.0,5
x_1m_Premium_neut,8363735.0,8
x_1m_O2H_neut,8212817.0,6
x_30m_O2C,8192213.0,3
x_120m_PremiumDiff_neut,8186332.0,10
x_60m_PremiumDiff,8073513.0,4
x_15m_H2C,7966348.0,8
x_480m_O2L,7852713.0,8
x_60m_OI_Chg,7816529.0,8
x_120m_PremiumDiff,7477860.0,6
x_5m_Premium_neut,7475632.0,5
x_15m_O2H_neut,7425493.0,7
x_15m_RatioSkewDiff_neut,7332438.0,7
x_240m_O2L,7143239.0,5
x_120m_C2VWAP_neut,7092773.0,7
x_15m_O2H,6964287.0,5
x_120m_NetTaker_neut,6921055.0,3
x_5m_WhaleGap,6841865.0,6
x_5m_H2C,6836245.0,7
x_60m_OI_Price_Ratio,6577536.0,9
x_480m_EffRatio,6534513.0,4
x_60m_PremiumDiff_neut,6531603.0,6
x_30m_O2L,6394871.0,6
x_480m_PremiumDiff,6337670.0,6
x_1m_PremiumDiff_neut,6194059.0,6
x_120m_H2C,6172505.0,7
x_30m_O2H_neut,6102031.0,4
x_720m_EffRatio,5799286.0,2
x_1m_L2C_neut,5795378.0,7
x_1m_H2C,5629463.0,5
x_30m_OI_Chg,5376043.0,6
x_120m_Close_Diff_Rate,5367660.0,5
x_60m_O2H_neut,5250967.0,6
x_480m_EffRatio_neut,5247269.0,5
x_5m_O2H_neut,5117124.0,4
x_240m_OI_Chg_neut,5071956.0,5
x_1m_H2L_Vol_neut,5052394.0,5
x_720m_O2L,4978856.0,4
x_5m_PremiumDiff,4902239.0,3
x_1440m_PremiumDiff_neut,4890026.0,5
x_15m_O2L_neut,4861300.0,4
x_15m_PremiumDiff_neut,4836055.0,5
x_5m_O2L_neut,4725148.0,3
x_120m_O2L,4691249.0,5
x_5m_C2VWAP_neut,4668814.0,4
x_720m_PremiumDiff,4616942.0,3
x_5m_O2L,4532770.0,2
x_240m_NetTaker_neut,4522970.0,2
x_15m_PremiumDiff,4359300.0,5
x_720m_OI_Price_Ratio_neut,4174541.0,5
x_120m_L2C_neut,4146258.0,5
x_5m_C2VWAP,4121199.0,2
x_15m_L2C,4112453.0,5
x_1440m_O2C_neut,4015066.0,4
x_480m_O2H_neut,3891390.0,2
x_120m_OI_Chg,3888918.0,5
x_240m_OI_Chg,3865722.0,3
x_5m_PctB_neut,3803362.0,2
x_1440m_Close_Diff_Rate_neut,3470260.0,5
x_1m_C2VWAP,3417821.0,4
x_5m_O2C,3323515.0,3
x_1m_O2L_neut,3186660.0,3
x_1m_C2VWAP_neut,3108073.0,6
x_15m_OI_Chg_neut,2917933.0,3
x_1m_PremiumDiff,2649582.0,3
x_15m_H2C_neut,2587637.0,3
x_720m_PremiumDiff_neut,2529064.0,3
x_5m_O2C_neut,2522340.0,2
x_30m_OI_Chg_neut,2462094.0,4
x_5m_O2H,2318699.0,3
x_5m_OI_Chg,2053467.0,3
x_1m_H2C_neut,1891037.0,2
x_1m_L2C,1521993.0,2
x_240m_PremiumDiff,1051200.0,1
