feature,importance_gain,importance_split
x_1440m_RVol,186010792.0,283
x_1440m_Premium,131353746.0,197
x_240m_O2H,111338271.0,146
x_480m_H2L_Vol,101359585.0,162
x_480m_L2C,96727982.0,113
x_120m_H2L_Vol,95546522.0,160
x_120m_Vol_neut,92227152.0,109
x_60m_Vol_neut,91296388.0,91
x_720m_H2L_Vol,88790285.0,138
x_1440m_H2C_neut,88017774.0,132
x_1440m_NetTaker_neut,87002355.0,120
x_240m_OI_P_Corr,84435137.0,112
x_720m_Close_Diff_Rate_neut,81817882.0,83
x_720m_H2C_neut,80901885.0,73
x_1440m_H2C,80288307.0,94
x_1440m_O2H_neut,80093726.0,132
x_1440m_OI_Chg_neut,77633431.0,125
x_720m_O2L_neut,76839794.0,105
x_120m_Vol,76748353.0,88
x_120m_H2C_neut,75782942.0,97
x_1440m_L2C_neut,72541333.0,111
x_480m_H2C_neut,72078418.0,93
x_1440m_EffRatio_neut,67742015.0,96
x_480m_RatioSkewDiff_neut,67627557.0,102
x_240m_O2C,65896045.0,104
x_5m_RVol,65846803.0,107
x_1440m_RatioSkewDiff_neut,65619091.0,74
x_1440m_EffRatio,64143921.0,93
x_60m_H2L_Vol_neut,63363748.0,121
x_1440m_PctB_neut,63112568.0,72
x_720m_O2H,63094310.0,112
x_480m_NetTaker_neut,62810756.0,106
x_15m_H2L_Vol,62695730.0,98
x_1440m_O2H,62400859.0,103
x_120m_VolDiff_neut,61831002.0,102
x_5m_RatioSkew_neut,60699939.0,105
x_5m_WhaleGap,60591084.0,94
x_1440m_OI_Chg,56718998.0,86
x_480m_L2C_neut,54585078.0,107
x_120m_O2H_neut,54349640.0,96
x_720m_O2C_neut,54270373.0,64
x_5m_H2L_Vol_neut,54007192.0,109
x_120m_O2H,53270406.0,110
x_480m_O2C_neut,53223384.0,75
x_1440m_L2C,53033374.0,85
x_240m_O2H_neut,51558944.0,107
x_240m_O2L_neut,51124071.0,95
x_480m_EffRatio,50811526.0,73
x_1m_Premium,49892711.0,71
x_5m_H2C,49146344.0,60
x_240m_EffRatio_neut,49111263.0,96
x_120m_O2L_neut,48963488.0,80
x_120m_Close_Diff_Rate_neut,48899098.0,75
x_60m_O2H,48689691.0,93
x_60m_H2C,48584461.0,74
x_60m_O2L,48295165.0,78
x_60m_OI_Chg_neut,48190956.0,77
