feature,importance_gain,importance_split
x_480m_NetTaker_neut,27707345.0,2
x_1440m_O2L,18648714.0,5
x_480m_H2L_Vol,13726310.0,6
x_480m_RatioSkewDiff_neut,10689798.0,6
x_120m_L2C,10092106.0,6
x_240m_NetTaker_neut,9828120.0,3
x_1440m_NetTaker_neut,9306472.0,4
x_120m_NetTaker_neut,9003000.0,3
x_1440m_RatioSkewDiff_neut,8485637.0,6
x_120m_H2C_neut,7644200.0,4
x_1440m_O2H,7405820.0,4
x_30m_O2C,6301392.0,4
x_240m_OI_Chg_neut,6196590.0,4
x_240m_O2H,6141311.0,5
x_15m_O2H_neut,5885590.0,2
x_60m_OI_Price_Ratio,5855400.0,2
x_1m_H2L_Vol,5605110.0,3
x_240m_O2L_neut,5585640.0,2
x_240m_OI_P_Corr,5497850.0,2
x_720m_EffRatio,5384617.0,4
x_240m_PremiumDiff,5219326.0,4
x_1440m_L2C_neut,4991330.0,2
x_720m_OI_XSkew,4791368.0,4
x_30m_PremiumDiff_neut,4629755.0,2
x_1440m_EffRatio_neut,4425280.0,2
x_720m_O2L_neut,4363031.0,3
x_5m_PremiumDiff,4262920.0,1
x_240m_O2C,4201058.0,4
x_1440m_Premium,4173826.0,4
x_60m_H2L_Vol_neut,4146891.0,3
x_1440m_L2C,4053774.0,3
x_240m_EffRatio_neut,3936830.0,1
x_720m_O2H,3711752.0,3
x_5m_WhaleGap,3449620.0,2
x_5m_O2C_neut,3412270.0,1
x_5m_O2H_neut,3357460.0,2
x_5m_PremiumDiff_neut,3324190.0,2
x_5m_O2L,3257922.0,3
x_120m_Vol,3110430.0,2
x_720m_O2C_neut,3079020.0,2
x_720m_O2H_neut,3068990.0,2
x_1440m_RVol,2836050.0,2
x_1440m_H2C,2833973.0,3
x_720m_H2L_Vol,2693870.0,2
x_120m_VolDiff_neut,2546356.0,3
x_480m_OI_Chg,2519940.0,1
x_60m_Close_Diff_Rate,2473820.0,1
x_5m_O2C,2439610.0,2
x_1m_O2L_neut,2318464.0,2
x_240m_PctB_neut,2249780.0,1
x_120m_H2L_Vol,2123070.0,3
x_15m_PremiumDiff,2060520.0,1
x_1m_H2C_neut,2045130.0,1
x_1440m_OI_Price_Ratio_neut,1862890.0,1
x_1m_H2L_Vol_neut,1844560.0,1
x_15m_PremiumDiff_neut,1816170.0,1
x_120m_Close_Diff_Rate_neut,1786120.0,1
x_5m_H2L_Vol_neut,1764805.0,2
x_480m_EffRatio_neut,1699400.0,1
x_5m_OI_Chg,1697240.0,1
x_30m_PremiumDiff,1689390.0,1
x_480m_EffRatio,1672207.0,2
x_5m_RVol_neut,1670860.0,1
x_5m_H2C_neut,1664770.0,1
x_30m_L2C_neut,1635840.0,2
x_5m_C2VWAP_neut,1616144.0,2
x_480m_O2H_neut,1561744.0,2
x_15m_OI_Chg,1509910.0,1
x_15m_O2L,1503560.0,1
x_5m_L2C,1486844.0,2
x_1440m_H2C_neut,1468530.0,2
x_30m_OI_Chg,1372370.0,1
x_1440m_Close_Diff_Rate_neut,1360610.0,1
x_5m_RatioSkew_neut,1325350.0,1
x_720m_OI_Price_Ratio,1228131.0,2
x_120m_O2L_neut,1192170.0,1
x_1440m_PremiumDiff,1146650.0,1
x_1m_L2C_neut,1141920.0,1
x_720m_OI_Price_Ratio_neut,1124810.0,1
x_1440m_O2H_neut,1124743.0,2
x_120m_C2VWAP_neut,1101800.0,1
x_60m_O2H,1099770.0,1
x_480m_L2C,1059620.0,1
x_5m_PctB_neut,1034830.0,1
x_5m_H2C,1034830.0,1
x_1440m_O2C_neut,1017750.0,1
