feature,importance_gain,importance_split
x_1440m_RVol,637090954.0,539
x_5m_RatioSkew_neut,552369899.0,363
x_480m_RatioSkewDiff_neut,405108509.0,382
x_1440m_O2L,404440356.0,324
x_480m_NetTaker_neut,399777291.0,363
x_720m_OI_XSkew,399334650.0,385
x_1440m_NetTaker_neut,382444087.0,358
x_120m_NetTaker_neut,366111320.0,253
x_240m_NetTaker_neut,342308706.0,274
x_1440m_Premium,341693403.0,281
x_1440m_OI_Chg,330412157.0,278
x_720m_EffRatio,329577431.0,279
x_240m_O2H_neut,327881964.0,245
x_1440m_OI_Price_Ratio_neut,319889776.0,258
x_480m_H2L_Vol,314759442.0,300
x_5m_WhaleGap,311453730.0,242
x_720m_OI_Price_Ratio_neut,311005172.0,249
x_1440m_L2C_neut,307018180.0,314
x_720m_O2L,305940125.0,294
x_120m_VolDiff_neut,299708294.0,299
x_60m_Vol_neut,299447548.0,295
x_120m_Vol_neut,296616181.0,253
x_480m_OI_Chg,292902001.0,276
x_240m_OI_P_Corr,290772369.0,298
x_120m_H2L_Vol,286470872.0,299
x_1440m_O2H_neut,285534100.0,305
x_1440m_EffRatio_neut,283958535.0,279
x_480m_L2C,283524338.0,278
x_120m_O2H,282618743.0,273
x_1440m_EffRatio,282120142.0,250
x_15m_H2L_Vol,281819009.0,290
x_1440m_PremiumDiff,281007316.0,295
x_1440m_L2C,278875665.0,297
x_480m_PremiumDiff,278295397.0,301
x_120m_H2C,274130473.0,282
x_1440m_H2C_neut,273918563.0,206
x_240m_EffRatio_neut,272542396.0,237
x_720m_H2L_Vol,268027357.0,283
x_1440m_OI_Chg_neut,267833922.0,268
x_1440m_O2L_neut,265225784.0,264
x_120m_Vol,263117300.0,222
x_480m_O2H_neut,262737181.0,273
x_120m_L2C,261891817.0,256
x_15m_RatioSkewDiff_neut,261126676.0,252
x_480m_EffRatio_neut,258086628.0,226
x_240m_O2L,257174144.0,242
x_1440m_H2C,257078106.0,245
x_480m_EffRatio,255314919.0,224
x_720m_H2C_neut,253113826.0,229
x_720m_O2L_neut,252973646.0,268
x_720m_PremiumDiff,252113856.0,255
x_120m_O2L_neut,252103429.0,234
x_1440m_RatioSkewDiff_neut,251993643.0,227
x_120m_O2H_neut,251636695.0,243
x_60m_O2L,250883193.0,262
x_240m_O2L_neut,250361893.0,251
x_1440m_PctB_neut,249560444.0,247
x_720m_OI_Z_neut,249243192.0,242
x_720m_OI_Chg_neut,248475504.0,275
x_720m_OI_Price_Ratio,247915805.0,224
x_60m_OI_Price_Ratio,245549574.0,239
x_480m_O2L_neut,244096324.0,249
x_60m_O2H_neut,243918454.0,228
