feature,importance_gain,importance_split
x_1440m_RVol,35770060.0,31
x_240m_O2H,30362831.0,27
x_5m_WhaleGap,30293224.0,28
x_120m_VolDiff_neut,30175073.0,21
x_5m_RatioSkew_neut,29508773.0,24
x_60m_Vol_neut,28891463.0,18
x_240m_EffRatio_neut,28269598.0,30
x_1440m_L2C_neut,26648150.0,23
x_120m_H2C_neut,26300869.0,8
x_480m_H2L_Vol,25814302.0,22
x_1440m_O2H_neut,25741213.0,22
x_720m_O2H_neut,25238784.0,17
x_1440m_PremiumDiff,24924453.0,19
x_1440m_EffRatio_neut,22435214.0,19
x_480m_RatioSkewDiff_neut,22221109.0,16
x_1440m_O2H,20295997.0,14
x_120m_OI_Chg_neut,19144661.0,22
x_1440m_PctB,18891158.0,11
x_1440m_Premium,18871530.0,14
x_1440m_RatioSkewDiff_neut,18682031.0,19
x_720m_O2L_neut,18519723.0,17
x_1440m_OI_Chg_neut,18432335.0,21
x_1440m_EffRatio,18338377.0,17
x_60m_OI_Price_Ratio,18091926.0,17
x_720m_H2L_Vol,18000957.0,17
x_1440m_L2C,17850477.0,11
x_720m_OI_Z_neut,17701168.0,15
x_120m_O2H_neut,17416002.0,12
x_480m_O2H_neut,17307809.0,17
x_1440m_NetTaker_neut,16965294.0,20
x_120m_H2L_Vol,16947553.0,16
x_240m_PremiumDiff,16629252.0,12
x_240m_OI_Chg_neut,15481734.0,18
x_1440m_OI_Price_Ratio_neut,15261725.0,15
x_720m_OI_Chg_neut,14860593.0,17
x_480m_H2C_neut,14696048.0,17
x_480m_NetTaker_neut,14682517.0,15
x_480m_EffRatio_neut,14544419.0,8
x_120m_O2L_neut,14348103.0,15
x_1440m_O2L,14263865.0,12
x_1440m_PctB_neut,14102200.0,12
x_720m_OI_Price_Ratio,13974435.0,11
x_1440m_H2C,13806621.0,12
x_15m_H2L_Vol,13777412.0,16
x_720m_O2H,13642788.0,14
x_240m_C2VWAP_neut,13474891.0,7
x_240m_OI_P_Corr,13243678.0,13
x_480m_O2C_neut,13115882.0,9
x_120m_Vol,12388193.0,7
x_60m_H2L_Vol_neut,12315784.0,13
x_30m_O2H,11620308.0,11
x_480m_O2L_neut,11578443.0,12
x_240m_O2L,11208869.0,10
x_1440m_Close_Diff_Rate_neut,10941509.0,11
x_15m_PremiumDiff,10838648.0,8
x_720m_OI_Price_Ratio_neut,10655024.0,14
x_720m_O2C_neut,10617906.0,8
x_30m_O2L_neut,10481713.0,12
x_720m_OI_XSkew,10366387.0,11
x_720m_H2C_neut,10338284.0,5
x_480m_L2C,10162514.0,15
x_720m_Close_Diff_Rate_neut,9690736.0,8
x_240m_O2H_neut,9620667.0,14
x_5m_H2L_Vol_neut,9460226.0,7
x_60m_O2H,9431045.0,8
x_1440m_H2C_neut,9411462.0,6
x_1440m_O2L_neut,9059292.0,12
x_120m_L2C_neut,8980145.0,9
x_120m_Vol_neut,8447191.0,12
x_5m_H2C,8399617.0,2
x_480m_EffRatio,8239414.0,6
x_120m_PremiumDiff,7995314.0,5
x_720m_OI_Z,7834841.0,7
x_15m_L2C,7779362.0,7
x_15m_OI_Chg,7673854.0,12
x_240m_OI_Chg,7572372.0,9
x_120m_C2VWAP_neut,7494890.0,11
x_480m_L2C_neut,7422998.0,11
x_120m_L2C,7397217.0,10
x_480m_Close_Diff_Rate,7137290.0,7
x_60m_Close_Diff_Rate,7019492.0,7
x_1440m_O2C_neut,6896090.0,9
x_60m_H2C,6847513.0,7
x_60m_O2H_neut,6781444.0,6
x_1m_O2H_neut,6725712.0,8
x_120m_Close_Diff_Rate,6715898.0,11
x_5m_RVol,6653213.0,8
x_15m_OI_Chg_neut,6565532.0,8
x_60m_O2L,6495589.0,10
x_480m_OI_Chg,6424506.0,11
x_60m_PremiumDiff_neut,6131395.0,8
x_720m_EffRatio,6035227.0,5
x_30m_L2C_neut,5794256.0,5
x_120m_OI_Chg,5744026.0,8
x_720m_O2L,5710016.0,6
x_720m_PremiumDiff,5687110.0,2
x_120m_H2C,5643514.0,4
x_120m_PremiumDiff_neut,5585512.0,5
x_1m_H2L_Vol_neut,5517198.0,7
x_60m_OI_Chg,5501360.0,8
x_120m_Close_Diff_Rate_neut,5500709.0,7
x_30m_OI_Chg,5477911.0,7
x_1m_H2C_neut,5357527.0,6
x_30m_PremiumDiff_neut,5215124.0,4
x_5m_PremiumDiff,5185210.0,4
x_480m_PremiumDiff_neut,5053402.0,7
x_1m_L2C,5009300.0,2
x_1m_O2L_neut,4984966.0,7
x_5m_O2H_neut,4969099.0,4
x_15m_O2L_neut,4961096.0,5
x_120m_CrowdingPressure_neut,4956290.0,5
x_15m_H2C_neut,4917979.0,6
x_30m_OI_Chg_neut,4894150.0,6
x_240m_O2L_neut,4878178.0,7
x_240m_O2C,4572176.0,5
x_5m_C2VWAP_neut,4541396.0,6
x_60m_O2L_neut,4464788.0,7
x_5m_RVol_neut,4365664.0,7
x_5m_O2H,4159916.0,4
x_1m_H2C,4123270.0,3
x_480m_O2L,4040336.0,6
x_15m_RatioSkewDiff_neut,3974167.0,2
x_5m_O2C_neut,3770187.0,5
x_240m_PctB_neut,3645815.0,6
x_60m_EffRatio_neut,3611440.0,5
x_5m_PremiumDiff_neut,3607430.0,3
x_1m_Premium,3530264.0,4
x_60m_EffRatio,3502357.0,8
x_1m_PremiumDiff_neut,3481872.0,4
x_15m_O2H,3474346.0,5
x_120m_O2H,3436713.0,6
x_480m_PremiumDiff,3401941.0,5
x_30m_O2L,3126185.0,5
x_120m_O2L,3089832.0,6
x_15m_O2H_neut,3049634.0,4
x_1m_L2C_neut,2796060.0,5
x_30m_PremiumDiff,2700456.0,4
x_1m_H2L_Vol,2500494.0,5
x_5m_OI_Chg,2497372.0,4
x_1m_Premium_neut,2472724.0,5
x_15m_O2L,2307329.0,5
x_720m_PremiumDiff_neut,2306248.0,4
x_15m_H2C,2143205.0,4
x_5m_L2C,2132584.0,4
x_5m_Premium_neut,1942613.0,4
x_5m_O2L_neut,1941350.0,1
x_1440m_PremiumDiff_neut,1883553.0,2
x_30m_O2C,1877078.0,2
x_5m_O2C,1645903.0,2
x_1m_C2VWAP,1524330.0,1
x_15m_PremiumDiff_neut,1337974.0,3
x_60m_PremiumDiff,1284847.0,2
x_240m_NetTaker_neut,1188778.0,3
x_5m_C2VWAP,1068949.0,3
x_1m_C2VWAP_neut,1000981.0,2
x_1440m_OI_Chg,999237.0,2
x_5m_O2L,965710.0,2
x_120m_NetTaker_neut,962278.0,2
x_240m_PremiumDiff_neut,873229.0,2
x_1m_PremiumDiff,780749.0,2
x_5m_H2C_neut,430240.0,1
x_5m_L2C_neut,422105.0,1
x_60m_OI_Chg_neut,355703.0,1
