feature,importance_gain,importance_split
x_1440m_H2C_neut,15869940.0,12
x_5m_PremiumDiff,14046220.0,5
x_240m_NetTaker_neut,13817444.0,7
x_60m_H2L_Vol_neut,12826584.0,9
x_5m_WhaleGap,12006231.0,8
x_1440m_RVol,11915569.0,13
x_120m_Vol_neut,10782132.0,7
x_240m_O2L,10705873.0,9
x_1440m_L2C_neut,10148594.0,7
x_15m_O2L,9240410.0,6
x_480m_O2C_neut,9035100.0,6
x_480m_H2L_Vol,8612099.0,7
x_1440m_Premium,8225658.0,10
x_1440m_O2L,8139236.0,7
x_120m_H2L_Vol,8089403.0,10
x_1440m_NetTaker_neut,7918077.0,3
x_720m_OI_XSkew,7338918.0,6
x_5m_H2L_Vol_neut,7093622.0,3
x_30m_PremiumDiff_neut,6930581.0,7
x_240m_OI_P_Corr,6863114.0,6
x_480m_NetTaker_neut,6246173.0,5
x_480m_RatioSkewDiff_neut,6045136.0,4
x_5m_O2L,5646515.0,5
x_1440m_EffRatio,5271073.0,4
x_60m_O2L_neut,5233244.0,4
x_720m_O2L_neut,5105921.0,5
x_15m_H2C,4525917.0,5
x_120m_L2C_neut,4448681.0,4
x_1440m_RatioSkewDiff_neut,4320844.0,3
x_120m_Vol,4190009.0,4
x_5m_RVol,4142343.0,4
x_720m_O2H,4110916.0,3
x_1m_H2L_Vol_neut,4080286.0,5
x_240m_O2H,3885231.0,5
x_240m_EffRatio_neut,3799425.0,4
x_480m_PremiumDiff_neut,3756455.0,2
x_30m_L2C_neut,3743284.0,2
x_120m_O2H_neut,3635066.0,5
x_120m_VolDiff_neut,3465326.0,2
x_1440m_OI_Chg_neut,3392114.0,5
x_60m_H2C,3317230.0,4
x_1m_H2L_Vol,3272025.0,6
x_15m_O2H_neut,3130401.0,4
x_5m_O2C,2984952.0,4
x_480m_L2C,2982690.0,5
x_5m_L2C,2939440.0,2
x_5m_O2H_neut,2917609.0,4
x_60m_OI_Price_Ratio,2708679.0,3
x_1440m_PctB,2588061.0,3
x_1440m_EffRatio_neut,2540012.0,3
x_120m_H2C_neut,2536565.0,2
x_240m_PremiumDiff,2493270.0,4
x_15m_PremiumDiff_neut,2404727.0,3
x_480m_EffRatio_neut,2342208.0,3
x_60m_PremiumDiff_neut,2209472.0,2
x_15m_O2L_neut,2181533.0,2
x_5m_O2L_neut,2171342.0,3
x_1m_H2C,2072953.0,2
x_240m_O2H_neut,1998790.0,1
x_30m_OI_Chg_neut,1956281.0,3
x_60m_Vol_neut,1936428.0,3
x_60m_Close_Diff_Rate,1889688.0,3
