feature,importance_gain,importance_split
x_720m_OI_Z_neut,301155470.0,20
x_720m_OI_Z,290045280.0,19
x_720m_OI_XSkew,258439660.0,38
x_720m_EffRatio,183918070.0,21
x_120m_Vol_neut,154486000.0,30
x_120m_Vol,153081820.0,22
x_120m_NetTaker_neut,126616130.0,19
x_480m_EffRatio,117789490.0,15
x_1440m_NetTaker_neut,114049330.0,32
x_240m_EffRatio_neut,112385270.0,25
x_240m_O2H_neut,106100498.0,12
x_1440m_RVol,105970750.0,34
x_1440m_EffRatio,105209280.0,25
x_5m_RatioSkew_neut,94982650.0,26
x_30m_PremiumDiff,91069110.0,20
x_60m_EffRatio,88821008.0,18
x_60m_Vol_neut,88685760.0,19
x_480m_RatioSkewDiff_neut,88622280.0,27
x_720m_O2L_neut,88065460.0,21
x_1440m_Premium,87593380.0,25
x_1440m_PctB,86652650.0,12
x_720m_O2H_neut,75220620.0,15
x_1m_Premium,74097990.0,25
x_30m_OI_Chg,73297170.0,10
x_1440m_H2C_neut,72093640.0,25
x_1440m_H2C,70693470.0,30
x_1440m_PctB_neut,69942420.0,15
x_120m_VolDiff_neut,69615990.0,20
x_1440m_RatioSkewDiff_neut,68804900.0,18
x_480m_L2C,66361790.0,16
x_1440m_EffRatio_neut,65583330.0,15
x_240m_OI_P_Corr,65528750.0,25
x_120m_CrowdingPressure_neut,65368330.0,20
x_720m_OI_Chg_neut,65079300.0,20
x_5m_PremiumDiff_neut,64175140.0,15
x_240m_O2H,58860590.0,21
x_30m_PremiumDiff_neut,57710452.0,13
x_1440m_OI_Chg_neut,56131201.0,21
x_480m_L2C_neut,54902570.0,17
x_480m_O2L,54330900.0,11
x_480m_OI_Chg,53224790.0,18
x_120m_L2C,52763940.0,13
x_15m_RatioSkewDiff_neut,51815680.0,18
x_240m_O2L,51194870.0,11
x_15m_OI_Chg,49636744.0,9
x_15m_L2C,49516610.0,14
x_1m_C2VWAP_neut,48733620.0,6
x_720m_H2C_neut,48066140.0,14
x_60m_Close_Diff_Rate,46845630.0,14
x_480m_NetTaker_neut,45686650.0,16
x_1440m_O2L,45498120.0,18
x_60m_O2H,44058449.0,19
x_480m_O2H_neut,43549920.0,11
x_1440m_L2C_neut,43296120.0,14
x_5m_WhaleGap,43211790.0,12
x_720m_OI_Price_Ratio_neut,43027440.0,19
x_60m_EffRatio_neut,42162939.0,15
x_480m_O2L_neut,41837010.0,14
x_15m_PremiumDiff,40930940.0,9
x_30m_O2L,40604470.0,11
x_60m_OI_Chg,40575220.0,9
x_30m_O2L_neut,40185910.0,9
x_240m_PctB_neut,39422364.0,8
x_480m_EffRatio_neut,38825420.0,9
x_15m_O2L,38754370.0,14
x_480m_H2C_neut,38308360.0,15
x_5m_RVol,37841220.0,11
x_1m_C2VWAP,37821450.0,9
x_120m_H2L_Vol,37617950.0,11
x_5m_L2C_neut,37322000.0,6
x_120m_OI_Chg_neut,36218500.0,15
x_480m_PremiumDiff_neut,36207850.0,12
x_1440m_O2H,36171216.0,15
x_480m_H2L_Vol,35954430.0,15
x_1440m_OI_Price_Ratio_neut,35693980.0,10
x_15m_PremiumDiff_neut,35596010.0,10
x_1m_O2H_neut,35523080.0,12
x_60m_O2L,35305830.0,9
x_720m_O2C_neut,35292860.0,12
x_1m_O2L_neut,34513320.0,5
x_720m_Close_Diff_Rate_neut,34063782.0,11
x_240m_NetTaker_neut,33819830.0,12
x_1440m_PremiumDiff,33068650.0,8
x_240m_PremiumDiff_neut,32969560.0,11
x_720m_O2L,32842232.0,14
x_720m_O2H,32597700.0,10
x_1m_PremiumDiff_neut,31762893.0,13
x_15m_H2L_Vol,31686284.0,9
x_5m_O2H,31417490.0,9
x_1440m_O2C_neut,31403440.0,6
x_240m_PremiumDiff,31367230.0,8
x_60m_H2L_Vol_neut,31319660.0,11
x_240m_O2C,31224450.0,11
x_1440m_O2L_neut,31145390.0,12
x_120m_O2L,31016960.0,12
x_5m_PremiumDiff,31016950.0,7
x_5m_C2VWAP,30631940.0,11
x_5m_OI_Chg,29510280.0,9
x_5m_Premium_neut,29367500.0,9
x_60m_H2C,29292053.0,11
x_720m_H2L_Vol,28625720.0,11
x_60m_PremiumDiff,28162770.0,9
x_120m_O2H,27965570.0,12
x_60m_OI_Chg_neut,27770810.0,9
x_1440m_O2H_neut,27451080.0,8
x_480m_O2C_neut,26700360.0,7
x_60m_PremiumDiff_neut,26598590.0,9
x_60m_OI_Price_Ratio,26379980.0,9
x_15m_H2C_neut,25677920.0,9
x_240m_OI_Chg,25392600.0,9
x_720m_PremiumDiff,25048520.0,7
x_120m_H2C,24881390.0,9
x_120m_Close_Diff_Rate_neut,24790260.0,7
x_1440m_Close_Diff_Rate_neut,24613780.0,7
x_30m_L2C_neut,24606470.0,8
x_15m_H2C,24420960.0,6
x_1440m_L2C,24380030.0,9
x_1m_O2L,23930920.0,7
x_120m_L2C_neut,23906470.0,9
x_15m_OI_Chg_neut,23628500.0,3
x_1m_Premium_neut,23459900.0,10
x_5m_H2C,23193450.0,8
x_60m_O2H_neut,22804980.0,11
x_5m_L2C,22127661.0,9
x_1m_PremiumDiff,21751260.0,7
x_120m_O2H_neut,21159940.0,9
x_120m_H2C_neut,20925720.0,6
x_120m_C2VWAP_neut,20627370.0,8
x_1m_H2L_Vol_neut,20616530.0,7
x_5m_H2C_neut,20593700.0,6
x_480m_PremiumDiff,19948150.0,6
x_120m_PremiumDiff,19559420.0,9
x_5m_O2C_neut,18877380.0,7
x_120m_O2L_neut,18751680.0,6
x_720m_OI_Price_Ratio,18041460.0,7
x_5m_O2H_neut,17695300.0,10
x_60m_O2L_neut,17667580.0,6
x_240m_O2L_neut,16824500.0,9
x_30m_O2H,16621150.0,8
x_5m_O2L_neut,16428600.0,7
x_1m_H2C_neut,16234490.0,8
x_720m_PremiumDiff_neut,16135041.0,4
x_120m_Close_Diff_Rate,15463970.0,5
x_1440m_OI_Chg,15460330.0,7
x_1m_L2C,15204290.0,6
x_240m_OI_Chg_neut,13315780.0,7
x_30m_O2C,13127320.0,5
x_15m_O2H_neut,12991580.0,5
x_30m_OI_Chg_neut,12730050.0,6
x_480m_Close_Diff_Rate,12604960.0,6
x_5m_C2VWAP_neut,12258260.0,6
x_120m_PremiumDiff_neut,12254100.0,6
x_1m_H2L_Vol,12064500.0,5
x_240m_C2VWAP_neut,11978140.0,6
x_5m_RVol_neut,11913010.0,5
x_1m_L2C_neut,11543100.0,4
x_5m_PctB_neut,11535690.0,5
x_15m_O2H,11379810.0,5
x_5m_O2L,11379670.0,5
x_1440m_PremiumDiff_neut,10868820.0,2
x_15m_O2L_neut,10736370.0,4
x_120m_OI_Chg,10420190.0,6
x_5m_H2L_Vol_neut,9807310.0,4
x_5m_O2C,9782930.0,5
x_1m_H2C,6920760.0,3
x_30m_O2H_neut,6647960.0,3
