feature,importance_gain,importance_split
x_720m_OI_XSkew,419854875.0,68
x_720m_OI_Z,388245213.0,43
x_120m_Vol,367019950.0,44
x_1440m_EffRatio,306582785.0,41
x_720m_OI_Z_neut,265673938.0,33
x_720m_EffRatio,257429395.0,40
x_480m_RatioSkewDiff_neut,222701392.0,65
x_240m_OI_P_Corr,215048764.0,60
x_480m_H2L_Vol,208640390.0,43
x_120m_NetTaker_neut,205805967.0,36
x_120m_Vol_neut,204667214.0,47
x_120m_VolDiff_neut,202539550.0,52
x_1440m_RatioSkewDiff_neut,198891878.0,49
x_5m_RatioSkew_neut,185792310.0,54
x_60m_Vol_neut,168187835.0,61
x_60m_EffRatio,166463679.0,39
x_720m_H2C_neut,156457262.0,40
x_1440m_O2C_neut,155231000.0,21
x_1440m_Premium,154278045.0,49
x_480m_O2H_neut,153396084.0,25
x_240m_O2H,151096974.0,36
x_15m_RatioSkewDiff_neut,151081025.0,39
x_1440m_PctB,150096380.0,27
x_60m_PremiumDiff,143271060.0,37
x_1440m_NetTaker_neut,139447810.0,45
x_60m_EffRatio_neut,137025656.0,32
x_1440m_H2C,136799971.0,40
x_1440m_L2C_neut,124662841.0,40
x_480m_EffRatio,120408510.0,38
x_480m_NetTaker_neut,119655680.0,30
x_480m_EffRatio_neut,119534410.0,30
x_60m_O2H_neut,118338339.0,18
x_240m_O2H_neut,117585330.0,23
x_1440m_RVol,115437311.0,48
x_1m_C2VWAP_neut,115369800.0,27
x_720m_O2H_neut,115184050.0,30
x_5m_WhaleGap,113366160.0,41
x_120m_OI_Chg_neut,110192760.0,29
x_30m_PremiumDiff,109743660.0,25
x_1440m_OI_Chg_neut,109073814.0,41
x_240m_O2L,107349712.0,36
x_1440m_OI_Chg,106644937.0,38
x_480m_H2C_neut,105503152.0,30
x_720m_O2L_neut,104526846.0,35
x_120m_H2L_Vol,103791741.0,40
x_1440m_EffRatio_neut,103546220.0,35
x_1440m_OI_Price_Ratio_neut,101697721.0,36
x_1440m_L2C,101019561.0,37
x_720m_OI_Price_Ratio_neut,100802152.0,37
x_240m_PctB_neut,100602456.0,31
x_480m_L2C,99777330.0,29
x_480m_O2L,98735360.0,27
x_1440m_PctB_neut,96504500.0,29
x_1440m_O2L,96067697.0,42
x_1440m_H2C_neut,94412200.0,37
x_240m_PremiumDiff,93988416.0,30
x_60m_OI_Chg_neut,92241460.0,23
x_30m_O2L,89409450.0,23
x_480m_OI_Chg,89276066.0,36
x_5m_RVol,89124373.0,29
x_120m_CrowdingPressure_neut,89090455.0,30
x_720m_OI_Price_Ratio,87809300.0,25
x_1m_O2H_neut,87708610.0,19
x_240m_O2C,86692720.0,25
x_720m_Close_Diff_Rate_neut,85745986.0,31
x_5m_OI_Chg,85081670.0,29
x_120m_O2H_neut,84498200.0,26
x_720m_H2L_Vol,83113538.0,37
x_1440m_O2H_neut,80151378.0,25
x_480m_PremiumDiff,79600416.0,30
x_480m_L2C_neut,79407881.0,32
x_60m_O2L_neut,78669694.0,26
x_120m_O2H,77754999.0,29
x_720m_O2L,76490309.0,29
x_720m_O2C_neut,76000120.0,27
x_720m_PremiumDiff_neut,75734840.0,20
x_120m_O2L_neut,75557992.0,27
x_60m_H2L_Vol_neut,74815313.0,28
x_240m_C2VWAP_neut,74537300.0,22
x_60m_H2C,74037806.0,29
x_60m_OI_Price_Ratio,73951090.0,23
x_15m_PremiumDiff_neut,73604437.0,30
x_120m_H2C,72336530.0,31
x_240m_EffRatio_neut,72129170.0,22
x_120m_C2VWAP_neut,71033855.0,36
x_60m_O2L,70703205.0,23
x_5m_L2C,69959279.0,22
x_1440m_Close_Diff_Rate_neut,69902730.0,26
x_1m_C2VWAP,69625328.0,23
x_30m_O2C,69273101.0,24
x_15m_PremiumDiff,69150360.0,21
x_120m_O2L,68795560.0,22
x_240m_OI_Chg,68230073.0,26
x_30m_PremiumDiff_neut,68155202.0,19
x_1m_PremiumDiff,68026872.0,22
x_15m_OI_Chg,65370255.0,22
x_120m_H2C_neut,65334250.0,22
x_30m_O2L_neut,65207528.0,22
x_720m_PremiumDiff,63449578.0,24
x_5m_O2H,62902466.0,19
x_480m_O2C_neut,62181992.0,22
x_720m_OI_Chg_neut,61260230.0,27
x_5m_PremiumDiff,61038133.0,29
x_15m_O2L_neut,60155850.0,21
x_480m_PremiumDiff_neut,59125420.0,21
x_120m_L2C_neut,58598845.0,24
x_1m_H2L_Vol,58199521.0,22
x_120m_OI_Chg,58139690.0,16
x_15m_O2L,57725770.0,21
x_5m_H2C,56763468.0,20
x_1m_Premium_neut,55878520.0,20
x_5m_Premium_neut,55709496.0,20
x_1m_PremiumDiff_neut,54998515.0,21
x_120m_L2C,54879090.0,20
x_60m_PremiumDiff_neut,54876540.0,20
x_60m_Close_Diff_Rate,54818570.0,23
x_15m_H2C_neut,54591358.0,15
x_30m_O2H,54223826.0,21
x_1m_H2C,54207730.0,15
x_1m_O2L,53927710.0,17
x_1m_Premium,53852806.0,22
x_15m_H2L_Vol,53725965.0,25
x_1440m_PremiumDiff,52431440.0,26
x_5m_O2C_neut,51285512.0,19
x_720m_O2H,50967230.0,19
