feature,importance_gain,importance_split
x_120m_Vol_neut,192754762.0,50
x_60m_Vol_neut,169796762.0,37
x_480m_H2L_Vol,134896018.0,60
x_120m_Vol,130123863.0,29
x_1440m_H2C,104808811.0,36
x_1440m_RatioSkewDiff_neut,104260841.0,28
x_1440m_NetTaker_neut,102805322.0,35
x_1440m_EffRatio_neut,97998546.0,29
x_720m_O2C_neut,96519994.0,41
x_5m_RatioSkew_neut,96431335.0,31
x_720m_Close_Diff_Rate_neut,94873772.0,45
x_240m_OI_P_Corr,94819239.0,32
x_1440m_RVol,92883511.0,50
x_720m_OI_Chg_neut,90587900.0,35
x_1440m_OI_Chg_neut,89555224.0,40
x_720m_H2C_neut,88717425.0,26
x_480m_RatioSkewDiff_neut,87333462.0,38
x_480m_L2C,87133165.0,42
x_1440m_Premium,84358068.0,48
x_120m_H2L_Vol,84282140.0,44
x_720m_OI_XSkew,82854964.0,30
x_1440m_O2H,82012749.0,25
x_1440m_EffRatio,79904197.0,32
x_1440m_OI_Chg,79063549.0,41
x_480m_H2C_neut,78093514.0,28
x_720m_OI_Z_neut,78023725.0,21
x_240m_O2C,77768271.0,29
x_1440m_H2C_neut,73855009.0,27
x_720m_EffRatio,73234596.0,23
x_720m_H2L_Vol,67862049.0,39
x_120m_VolDiff_neut,67645831.0,28
x_60m_O2H_neut,66497007.0,21
x_1440m_O2H_neut,62750732.0,25
x_480m_O2H_neut,60177273.0,25
x_240m_O2H,59223941.0,27
x_60m_EffRatio,58652074.0,22
x_240m_PctB_neut,58244757.0,21
x_60m_OI_Chg_neut,57908519.0,23
x_1440m_L2C_neut,57409786.0,29
x_480m_NetTaker_neut,57231184.0,29
x_120m_NetTaker_neut,57017260.0,12
x_720m_O2L_neut,55144381.0,23
x_120m_O2L,54944274.0,27
x_480m_L2C_neut,54107806.0,30
x_120m_O2H,53508859.0,32
x_1m_Premium,53309097.0,21
x_240m_O2H_neut,52869636.0,22
x_120m_Close_Diff_Rate,51945714.0,19
x_480m_OI_Chg,51584887.0,24
x_1440m_PremiumDiff,50886428.0,21
x_1440m_PctB_neut,50791155.0,20
x_720m_OI_Price_Ratio_neut,50067495.0,24
x_240m_C2VWAP_neut,49016371.0,19
x_720m_O2H,48957646.0,21
x_1440m_O2L,48799675.0,25
x_120m_OI_Chg_neut,48512130.0,24
x_480m_O2C_neut,47776337.0,24
x_120m_C2VWAP_neut,47727705.0,24
x_1440m_L2C,47513929.0,26
x_60m_Close_Diff_Rate,47327626.0,20
x_120m_H2C,47018640.0,22
x_720m_O2H_neut,46719583.0,23
x_720m_OI_Z,45911692.0,21
x_120m_H2C_neut,45108920.0,17
x_5m_WhaleGap,44882710.0,19
x_60m_OI_Chg,44510391.0,18
x_1440m_OI_Price_Ratio_neut,43857549.0,17
x_60m_H2L_Vol_neut,43739395.0,25
x_480m_EffRatio_neut,43605417.0,27
x_1440m_O2C_neut,43531907.0,27
x_15m_RatioSkewDiff_neut,43456921.0,24
x_240m_O2L_neut,43279375.0,24
x_480m_O2L_neut,42822144.0,23
x_60m_O2H,42624997.0,26
x_15m_H2L_Vol,42286620.0,17
x_120m_CrowdingPressure_neut,41504098.0,21
x_60m_PremiumDiff_neut,40620179.0,20
x_60m_O2L,40334122.0,21
x_720m_PremiumDiff,39066892.0,24
x_5m_Premium_neut,38412561.0,22
x_480m_EffRatio,38322120.0,20
x_60m_H2C,38231522.0,17
x_15m_OI_Chg,37467202.0,15
x_240m_NetTaker_neut,37283596.0,18
x_1440m_PremiumDiff_neut,37281818.0,15
x_30m_O2H,36553475.0,21
x_15m_OI_Chg_neut,35338492.0,12
x_30m_PremiumDiff,34231198.0,11
x_30m_O2C,34047201.0,14
x_60m_O2L_neut,33366736.0,15
x_60m_OI_Price_Ratio,33272528.0,15
x_60m_PremiumDiff,31884571.0,12
x_120m_OI_Chg,31248325.0,20
x_30m_L2C_neut,30593991.0,15
x_480m_PremiumDiff,30415353.0,13
x_120m_O2H_neut,30142044.0,15
x_5m_H2C_neut,29844540.0,11
x_240m_O2L,29248064.0,14
x_240m_EffRatio_neut,28335893.0,18
x_30m_O2L_neut,27629294.0,12
x_480m_Close_Diff_Rate,27224912.0,16
x_30m_OI_Chg,26890416.0,14
x_1m_Premium_neut,26864774.0,11
x_240m_OI_Chg_neut,26320641.0,16
x_120m_O2L_neut,25681861.0,13
x_480m_PremiumDiff_neut,25585786.0,10
x_240m_PremiumDiff_neut,25086758.0,12
x_60m_EffRatio_neut,24859660.0,13
x_15m_PremiumDiff,24549639.0,17
x_15m_O2L,24243416.0,10
x_15m_H2C,24169191.0,17
x_1m_PremiumDiff_neut,24113472.0,11
x_1m_H2L_Vol,24018893.0,12
x_5m_RVol,23946957.0,18
x_720m_O2L,23761366.0,13
x_15m_O2L_neut,23420062.0,14
x_1440m_O2L_neut,23296966.0,15
x_5m_PremiumDiff,23161375.0,12
x_240m_OI_Chg,22260278.0,15
x_120m_L2C,21909593.0,13
x_15m_PremiumDiff_neut,21841444.0,12
x_1m_H2L_Vol_neut,21716077.0,12
x_30m_PremiumDiff_neut,21465490.0,9
x_5m_C2VWAP,21418356.0,7
x_120m_PremiumDiff,21162669.0,13
x_720m_OI_Price_Ratio,21138940.0,11
x_5m_H2C,21039103.0,7
x_5m_C2VWAP_neut,21023448.0,13
x_15m_O2H_neut,20841303.0,9
x_120m_L2C_neut,20564170.0,11
x_1440m_PctB,20295096.0,10
x_240m_PremiumDiff,20203691.0,11
x_30m_OI_Chg_neut,20194536.0,10
x_5m_L2C,20043310.0,10
x_480m_O2L,19268890.0,13
x_5m_RVol_neut,18792020.0,7
x_15m_L2C,18597840.0,7
x_720m_PremiumDiff_neut,18572441.0,9
x_5m_O2L_neut,17894270.0,9
x_5m_O2C,17890077.0,6
x_1m_L2C_neut,17837805.0,9
x_1440m_Close_Diff_Rate_neut,17485437.0,13
x_5m_O2L,17411800.0,4
x_15m_H2C_neut,17368013.0,10
x_15m_O2H,17335937.0,12
x_5m_L2C_neut,16515380.0,7
x_120m_PremiumDiff_neut,16487792.0,10
x_5m_H2L_Vol_neut,15420164.0,11
x_30m_O2H_neut,15242288.0,12
x_1m_H2C,14934087.0,9
x_5m_O2C_neut,13293960.0,7
x_1m_PremiumDiff,11747860.0,8
x_5m_O2H,11173229.0,10
x_30m_O2L,11125567.0,7
x_5m_O2H_neut,9516542.0,7
x_1m_O2H_neut,8610510.0,7
x_120m_Close_Diff_Rate_neut,8453317.0,6
x_1m_L2C,8389208.0,6
x_5m_PremiumDiff_neut,8005510.0,4
x_1m_C2VWAP_neut,7601496.0,5
x_5m_OI_Chg,7000042.0,6
x_1m_H2C_neut,6553682.0,5
x_1m_O2L,6472176.0,5
x_1m_C2VWAP,6382175.0,6
x_1m_O2L_neut,4594801.0,4
x_5m_PctB_neut,3632750.0,2
