feature,importance_gain,importance_split
x_720m_OI_XSkew,224268820.0,35
x_720m_EffRatio,204513956.0,26
x_720m_OI_Z,167396562.0,26
x_1440m_RatioSkewDiff_neut,159180065.0,42
x_720m_OI_Z_neut,152122960.0,23
x_1440m_EffRatio,135836462.0,25
x_480m_RatioSkewDiff_neut,135567984.0,33
x_120m_Vol,133312493.0,17
x_1440m_PctB,117284680.0,17
x_480m_NetTaker_neut,102336597.0,29
x_240m_OI_P_Corr,101214910.0,34
x_1440m_NetTaker_neut,100564020.0,30
x_120m_VolDiff_neut,99786230.0,23
x_1m_O2H_neut,98338140.0,18
x_480m_O2H_neut,97810380.0,13
x_120m_Vol_neut,95233889.0,24
x_480m_EffRatio_neut,89238595.0,22
x_60m_EffRatio,87549760.0,21
x_60m_O2H_neut,85483990.0,11
x_60m_OI_Chg_neut,85248250.0,14
x_240m_O2H,79319660.0,13
x_240m_O2H_neut,78870610.0,19
x_480m_L2C,76921440.0,21
x_15m_RatioSkewDiff_neut,75636000.0,19
x_120m_OI_Chg_neut,75303410.0,20
x_1440m_L2C_neut,73969991.0,26
x_30m_PremiumDiff,73535470.0,15
x_60m_Vol_neut,73223120.0,29
x_1440m_H2C,73178030.0,22
x_120m_O2H_neut,72940380.0,12
x_720m_O2H_neut,72110830.0,18
x_480m_EffRatio,71206330.0,24
x_5m_RatioSkew_neut,69548231.0,27
x_240m_O2C,69341370.0,18
x_1440m_Premium,68997437.0,25
x_5m_OI_Chg,67283390.0,21
x_60m_EffRatio_neut,66195476.0,17
x_480m_OI_Chg,65168250.0,21
x_5m_WhaleGap,64998520.0,24
x_1m_C2VWAP_neut,62590800.0,10
x_720m_H2C_neut,61497810.0,20
x_60m_H2C,58745300.0,22
x_240m_PctB_neut,56981290.0,18
x_240m_PremiumDiff,53189290.0,12
x_720m_OI_Price_Ratio_neut,52936215.0,20
x_240m_EffRatio_neut,52448119.0,16
x_480m_L2C_neut,51790772.0,19
x_240m_O2L,51161000.0,12
x_480m_H2C_neut,50636690.0,19
x_1440m_RVol,50013520.0,22
x_120m_CrowdingPressure_neut,49592165.0,15
x_1m_C2VWAP,49196477.0,12
x_1440m_O2L,48898970.0,18
x_5m_PremiumDiff,47733414.0,18
x_480m_H2L_Vol,47705070.0,16
x_15m_H2C_neut,46557052.0,15
x_720m_OI_Price_Ratio,45348895.0,17
x_1440m_H2C_neut,44909927.0,17
x_1440m_OI_Chg_neut,44456224.0,16
x_60m_PremiumDiff_neut,43901460.0,15
x_1440m_OI_Price_Ratio_neut,43747580.0,13
x_30m_O2H,43740563.0,14
x_1440m_OI_Chg,43699286.0,20
x_120m_O2H,42387420.0,17
x_1440m_EffRatio_neut,42357420.0,16
x_15m_PremiumDiff,42131590.0,14
x_720m_O2C_neut,41932660.0,19
x_120m_O2L,41877000.0,11
x_60m_OI_Price_Ratio,41492007.0,14
x_240m_O2L_neut,41299110.0,13
x_1440m_L2C,41190820.0,17
x_720m_O2L_neut,41060044.0,19
x_480m_O2L,40808000.0,12
x_15m_PremiumDiff_neut,40411975.0,14
x_720m_O2L,39830430.0,14
x_1440m_PremiumDiff,39383147.0,18
x_15m_O2L,39302130.0,13
x_60m_H2L_Vol_neut,38994368.0,15
x_15m_O2H,38790960.0,12
x_1440m_O2H,38491390.0,15
x_30m_O2L_neut,38167219.0,9
x_720m_Close_Diff_Rate_neut,37624693.0,15
x_1m_Premium,37336000.0,16
x_1440m_PctB_neut,37279150.0,9
x_30m_O2C,37163420.0,13
x_15m_H2C,36967640.0,11
x_5m_O2H_neut,36790910.0,13
x_120m_H2L_Vol,36328590.0,14
x_480m_O2C_neut,36217419.0,12
x_60m_O2L_neut,35671610.0,12
x_5m_RVol,35632238.0,12
x_30m_PremiumDiff_neut,35435110.0,11
x_720m_H2L_Vol,34994727.0,14
x_5m_H2C,34052906.0,10
x_480m_PremiumDiff,34033980.0,14
x_120m_L2C,34028210.0,11
x_60m_Close_Diff_Rate,33488890.0,17
x_5m_O2C_neut,32969633.0,12
x_720m_PremiumDiff_neut,32923630.0,9
x_1m_PremiumDiff,32863054.0,11
x_60m_O2L,32837060.0,9
x_5m_O2H,32095740.0,10
x_5m_L2C,31656300.0,11
x_30m_L2C_neut,31365541.0,14
x_720m_OI_Chg_neut,31246440.0,16
x_120m_H2C,31246270.0,15
x_30m_O2H_neut,31159940.0,11
x_60m_OI_Chg,31065174.0,10
x_240m_C2VWAP_neut,30719120.0,11
x_120m_L2C_neut,30474070.0,12
x_1m_O2L,30187938.0,12
x_1m_L2C_neut,30021778.0,11
x_1440m_PremiumDiff_neut,29934070.0,11
x_120m_H2C_neut,29556040.0,9
x_120m_O2L_neut,29423730.0,13
x_1440m_Close_Diff_Rate_neut,29417393.0,14
x_1m_L2C,29278837.0,11
x_15m_O2L_neut,28798840.0,12
x_5m_RVol_neut,28786024.0,13
x_120m_PremiumDiff,28719510.0,12
x_1m_PremiumDiff_neut,28444103.0,11
x_720m_PremiumDiff,28080684.0,11
x_720m_O2H,27236040.0,9
x_15m_H2L_Vol,26862410.0,16
x_5m_O2L,25517386.0,12
x_1m_H2L_Vol,24755840.0,9
x_5m_Premium_neut,24571170.0,11
x_480m_PremiumDiff_neut,24535010.0,13
x_120m_Close_Diff_Rate,24219460.0,9
x_5m_O2C,24155562.0,8
x_120m_NetTaker_neut,23718090.0,7
x_5m_PremiumDiff_neut,23654350.0,6
x_30m_O2L,23552690.0,7
x_1m_H2C,22594350.0,7
x_60m_O2H,21910855.0,9
x_240m_NetTaker_neut,21071840.0,9
x_240m_OI_Chg_neut,20211964.0,11
x_5m_H2L_Vol_neut,20025560.0,10
x_1440m_O2L_neut,19924800.0,7
x_15m_OI_Chg,19856850.0,10
x_240m_PremiumDiff_neut,19607540.0,11
x_120m_C2VWAP_neut,19109608.0,9
x_1440m_O2H_neut,18815683.0,10
x_5m_PctB_neut,17997803.0,8
x_1m_Premium_neut,17859926.0,7
x_5m_C2VWAP_neut,17395516.0,9
x_1m_H2C_neut,16038760.0,9
x_480m_O2L_neut,16017240.0,7
x_30m_OI_Chg,15721237.0,10
x_60m_PremiumDiff,15678317.0,11
x_5m_O2L_neut,13579960.0,7
x_120m_OI_Chg,13264804.0,7
x_480m_Close_Diff_Rate,12955600.0,7
x_1440m_O2C_neut,12759199.0,6
x_1m_H2L_Vol_neut,12165640.0,7
x_5m_H2C_neut,11831480.0,5
x_15m_L2C,11033797.0,7
x_5m_L2C_neut,10983903.0,5
x_240m_OI_Chg,10872205.0,7
x_30m_OI_Chg_neut,10803917.0,5
x_5m_C2VWAP,10042400.0,6
x_120m_PremiumDiff_neut,9284750.0,4
x_1m_O2L_neut,8173260.0,3
x_15m_O2H_neut,7516770.0,4
x_120m_Close_Diff_Rate_neut,3719880.0,2
x_15m_OI_Chg_neut,0.0,0
