feature,importance_gain,importance_split
x_1440m_EffRatio,166730695.0,37
x_1440m_O2H_neut,122924305.0,25
x_480m_EffRatio_neut,96370675.0,32
x_5m_RatioSkew_neut,84917628.0,26
x_120m_Vol_neut,82875760.0,20
x_720m_EffRatio,78539100.0,20
x_120m_OI_Chg_neut,76395693.0,17
x_480m_L2C,75369889.0,24
x_480m_RatioSkewDiff_neut,74393892.0,30
x_1440m_L2C_neut,72261792.0,25
x_1440m_PctB,67215440.0,17
x_1440m_O2H,66497552.0,15
x_60m_Vol_neut,64502583.0,18
x_720m_O2H_neut,63908754.0,15
x_720m_Close_Diff_Rate_neut,60793850.0,23
x_720m_O2C_neut,59993805.0,25
x_720m_OI_Z,57117700.0,12
x_1440m_EffRatio_neut,55662368.0,21
x_720m_OI_XSkew,55220080.0,15
x_720m_OI_Price_Ratio_neut,52621780.0,15
x_1440m_RatioSkewDiff_neut,52183402.0,20
x_720m_OI_Z_neut,52170890.0,18
x_120m_H2C_neut,51460600.0,15
x_120m_VolDiff_neut,51170737.0,25
x_120m_H2C,50255934.0,19
x_240m_OI_P_Corr,49196460.0,19
x_720m_OI_Price_Ratio,48362680.0,15
x_1440m_RVol,47476826.0,20
x_240m_PctB_neut,47191860.0,8
x_480m_H2L_Vol,46806171.0,22
x_15m_H2L_Vol,46293730.0,18
x_240m_O2C,46124051.0,16
x_120m_PremiumDiff_neut,44616247.0,13
x_1440m_NetTaker_neut,44417720.0,25
x_480m_EffRatio,44165638.0,17
x_5m_PremiumDiff_neut,43978285.0,12
x_1440m_PremiumDiff,43858292.0,21
x_15m_RatioSkewDiff_neut,42604073.0,16
x_30m_L2C_neut,41401135.0,14
x_5m_Premium_neut,40591120.0,9
x_1440m_OI_Chg_neut,39980859.0,14
x_1440m_O2L,39334657.0,11
x_30m_O2C,39194401.0,12
x_720m_O2L_neut,38980320.0,18
x_1440m_O2C_neut,38657860.0,11
x_15m_PremiumDiff,37418144.0,21
x_15m_PremiumDiff_neut,35855245.0,13
x_720m_H2C_neut,35757166.0,16
x_480m_PremiumDiff,35735314.0,12
x_5m_WhaleGap,34763940.0,14
x_120m_O2H_neut,34708650.0,15
x_1m_Premium,33829374.0,16
x_120m_NetTaker_neut,33824430.0,14
x_120m_O2L_neut,33495895.0,11
x_1m_O2L_neut,32698665.0,12
x_5m_RVol_neut,32455513.0,14
x_240m_PremiumDiff_neut,31934018.0,14
x_60m_H2L_Vol_neut,31910043.0,13
x_5m_O2H_neut,31759288.0,14
x_60m_EffRatio_neut,31375618.0,11
x_120m_H2L_Vol,31257831.0,12
x_120m_Vol,31239060.0,8
x_30m_O2H,31042770.0,11
x_120m_OI_Chg,30632240.0,15
x_1440m_L2C,30619311.0,14
x_60m_EffRatio,30109480.0,12
x_1m_H2C_neut,29518120.0,11
x_5m_L2C_neut,29503902.0,9
x_480m_NetTaker_neut,29417236.0,13
x_1440m_H2C,29317376.0,15
x_480m_OI_Chg,29101590.0,14
x_60m_PremiumDiff_neut,29091576.0,14
x_120m_O2L,28414110.0,12
x_120m_O2H,27502116.0,13
x_120m_C2VWAP_neut,27068854.0,11
x_120m_Close_Diff_Rate,26646145.0,10
x_60m_O2H,26373370.0,12
x_15m_OI_Chg,26294420.0,7
x_5m_PremiumDiff,25735633.0,16
x_240m_O2H_neut,25633730.0,11
x_720m_H2L_Vol,25302670.0,10
x_15m_H2C,25014736.0,13
x_5m_C2VWAP,24819620.0,12
x_240m_EffRatio_neut,24177066.0,11
x_60m_OI_Price_Ratio,23894570.0,12
x_480m_O2H_neut,23858330.0,11
x_240m_PremiumDiff,23828468.0,13
x_720m_PremiumDiff,23556980.0,9
x_15m_O2L,23506075.0,8
x_1440m_OI_Chg,23406470.0,11
x_1m_H2C,23307860.0,9
x_720m_OI_Chg_neut,23249150.0,8
x_1440m_Premium,23246425.0,12
x_120m_PremiumDiff,22954510.0,11
x_5m_O2L_neut,22759413.0,14
x_15m_O2H_neut,22069780.0,8
x_5m_O2H,21645430.0,8
x_480m_PremiumDiff_neut,21252219.0,14
x_5m_H2L_Vol_neut,20650382.0,10
x_60m_Close_Diff_Rate,20638790.0,9
x_120m_CrowdingPressure_neut,20482100.0,12
x_1m_L2C_neut,19639530.0,9
x_5m_RVol,19551440.0,10
x_240m_C2VWAP_neut,19503780.0,10
x_720m_O2L,19339046.0,12
x_5m_H2C,19068528.0,7
x_1440m_H2C_neut,19033500.0,7
x_5m_O2L,18984220.0,9
x_5m_O2C_neut,18643759.0,12
x_480m_O2C_neut,18499880.0,10
x_1m_O2L,18320946.0,7
x_1m_C2VWAP_neut,18210535.0,13
x_720m_O2H,18210459.0,8
x_1m_Premium_neut,18107260.0,8
x_15m_O2L_neut,18077930.0,8
x_480m_O2L,17821247.0,12
x_60m_H2C,17670800.0,8
x_30m_O2L_neut,16989380.0,7
x_5m_OI_Chg,16947580.0,8
x_60m_PremiumDiff,16739070.0,6
x_240m_O2L,16601190.0,9
x_60m_OI_Chg_neut,16513572.0,9
x_1440m_PremiumDiff_neut,15997540.0,7
x_15m_H2C_neut,15668650.0,6
x_1440m_OI_Price_Ratio_neut,15542205.0,11
x_1m_L2C,15499400.0,7
x_30m_O2H_neut,15330392.0,8
x_1440m_PctB_neut,15314850.0,5
x_60m_O2H_neut,15034181.0,9
x_720m_PremiumDiff_neut,14944448.0,7
x_60m_O2L,14940460.0,9
x_480m_Close_Diff_Rate,14576209.0,8
x_1m_H2L_Vol_neut,14495600.0,6
x_5m_L2C,14171471.0,10
x_30m_PremiumDiff_neut,13755194.0,10
x_120m_L2C,13551908.0,9
x_240m_OI_Chg,13292010.0,7
x_480m_L2C_neut,13156060.0,6
x_30m_OI_Chg,12618040.0,6
x_480m_O2L_neut,12166670.0,7
x_5m_O2C,11734343.0,8
x_480m_H2C_neut,11631000.0,7
x_15m_OI_Chg_neut,11337728.0,5
x_1m_H2L_Vol,11267500.0,7
x_5m_C2VWAP_neut,11226160.0,7
x_240m_OI_Chg_neut,11074100.0,7
x_5m_PctB_neut,10965080.0,4
x_30m_PremiumDiff,10819100.0,6
x_30m_OI_Chg_neut,10809450.0,6
x_120m_L2C_neut,10533934.0,8
x_60m_OI_Chg,9969140.0,6
x_30m_O2L,9150460.0,6
x_240m_NetTaker_neut,9106230.0,6
x_15m_L2C,8992158.0,5
x_1m_PremiumDiff,8639500.0,6
x_1440m_O2L_neut,8245180.0,5
x_60m_O2L_neut,7911997.0,5
x_240m_O2H,7613877.0,5
x_1m_PremiumDiff_neut,7550148.0,5
x_240m_O2L_neut,7197180.0,4
x_1m_C2VWAP,6893250.0,4
x_1m_O2H_neut,6159360.0,4
x_15m_O2H,5305650.0,3
x_1440m_Close_Diff_Rate_neut,5105752.0,4
x_5m_H2C_neut,3763441.0,3
x_120m_Close_Diff_Rate_neut,2103125.0,2
