feature,importance_gain,importance_split
x_240m_OI_P_Corr,503559733.0,166
x_1440m_RVol,446518272.0,190
x_720m_OI_XSkew,410949297.0,181
x_480m_RatioSkewDiff_neut,402183145.0,197
x_1440m_EffRatio,391970282.0,165
x_5m_RatioSkew_neut,385600956.0,185
x_1440m_L2C_neut,355227192.0,125
x_720m_OI_Z_neut,343600999.0,131
x_1440m_RatioSkewDiff_neut,311448080.0,141
x_1440m_PctB,306092487.0,88
x_120m_VolDiff_neut,295937169.0,149
x_720m_OI_Chg_neut,291631452.0,127
x_60m_Vol_neut,291590372.0,145
x_720m_EffRatio,276726915.0,107
x_120m_Vol_neut,273231723.0,129
x_480m_EffRatio_neut,273017146.0,133
x_1440m_NetTaker_neut,265601506.0,165
x_240m_O2H_neut,264184018.0,64
x_480m_H2L_Vol,250041867.0,136
x_5m_WhaleGap,247358399.0,110
x_1440m_O2H_neut,245668494.0,117
x_720m_H2L_Vol,241881459.0,138
x_1440m_O2L,237431696.0,138
x_720m_OI_Price_Ratio_neut,236014161.0,137
x_120m_O2H,235080850.0,118
x_720m_O2L,234403183.0,130
x_720m_OI_Z,234004241.0,101
x_60m_EffRatio,233044009.0,103
x_720m_Close_Diff_Rate_neut,229841194.0,110
x_720m_O2H_neut,229661786.0,75
x_480m_EffRatio,221513823.0,104
x_240m_NetTaker_neut,219880292.0,110
x_120m_NetTaker_neut,218063514.0,88
x_1440m_OI_Chg_neut,215988049.0,136
x_120m_Vol,213909403.0,93
x_720m_OI_Price_Ratio,212958820.0,85
x_1440m_Premium,210745690.0,109
x_120m_OI_Chg_neut,208737258.0,121
x_240m_PctB_neut,208477655.0,79
x_480m_OI_Chg,205679374.0,93
x_120m_H2L_Vol,204754952.0,137
x_1440m_OI_Chg,203151000.0,111
x_1440m_H2C_neut,196980973.0,85
x_60m_H2C,196047049.0,103
x_480m_O2L,195142084.0,97
x_240m_O2C,194963242.0,105
x_480m_L2C,194016744.0,102
x_240m_EffRatio_neut,190238971.0,108
