feature,importance_gain,importance_split
x_1440m_NetTaker_neut,166855760.0,35
x_1440m_Premium,147486860.0,26
x_120m_NetTaker_neut,100507600.0,20
x_240m_O2L_neut,91972172.0,33
x_120m_O2L_neut,91267120.0,19
x_720m_O2L,81785207.0,30
x_5m_WhaleGap,81666880.0,33
x_240m_OI_P_Corr,80700890.0,26
x_1440m_H2C_neut,80469328.0,26
x_1440m_OI_Price_Ratio_neut,77884650.0,19
x_5m_RatioSkew_neut,77742310.0,23
x_120m_H2L_Vol,75781201.0,14
x_480m_NetTaker_neut,74047270.0,26
x_240m_EffRatio_neut,71237290.0,21
x_720m_O2L_neut,70682490.0,21
x_120m_L2C_neut,68918873.0,21
x_1440m_RVol,66402370.0,23
x_480m_L2C_neut,65768287.0,19
x_120m_OI_Chg_neut,63832570.0,22
x_720m_OI_Price_Ratio_neut,63813110.0,17
x_120m_VolDiff_neut,62941888.0,23
x_480m_RatioSkewDiff_neut,62506850.0,22
x_720m_OI_XSkew,59880050.0,27
x_480m_EffRatio_neut,59559470.0,15
x_60m_H2L_Vol_neut,58828760.0,15
x_1440m_O2L_neut,57159850.0,18
x_120m_H2C_neut,55754444.0,19
x_240m_O2L,55010930.0,17
x_480m_Close_Diff_Rate,53608750.0,20
x_15m_H2L_Vol,53508210.0,15
x_1440m_O2L,52386820.0,16
x_1440m_L2C_neut,51974170.0,17
x_60m_OI_Price_Ratio,51736150.0,21
x_240m_NetTaker_neut,51490510.0,14
x_120m_Vol,49988470.0,19
x_720m_OI_Price_Ratio,48759909.0,20
x_480m_EffRatio,48696120.0,13
x_1440m_EffRatio,48241660.0,15
x_720m_EffRatio,46712180.0,14
x_1440m_PctB_neut,45297890.0,15
x_1440m_O2H_neut,44582920.0,20
x_120m_Vol_neut,42582820.0,19
x_720m_O2H_neut,41686880.0,15
x_60m_O2H_neut,41393430.0,8
x_120m_CrowdingPressure_neut,41237840.0,11
x_480m_H2C_neut,40844456.0,13
x_1440m_RatioSkewDiff_neut,39457720.0,13
x_1440m_EffRatio_neut,39078744.0,15
x_30m_O2L_neut,38882610.0,14
x_60m_EffRatio,38819890.0,13
x_1440m_O2H,38709570.0,17
x_480m_O2L,38088070.0,14
x_120m_O2H,37168068.0,18
x_240m_O2H,37057510.0,14
x_240m_PctB_neut,36984215.0,13
x_60m_Vol_neut,36397930.0,14
x_15m_L2C,36274330.0,13
x_60m_O2L,36092580.0,14
x_480m_H2L_Vol,35984330.0,11
x_720m_OI_Chg_neut,35787210.0,15
x_1440m_OI_Chg_neut,35601210.0,13
x_1440m_H2C,35418488.0,17
x_1440m_L2C,35325895.0,19
x_720m_OI_Z_neut,34783210.0,14
x_5m_Premium_neut,34564120.0,9
x_60m_O2L_neut,34054155.0,11
x_5m_PremiumDiff,33069747.0,8
x_480m_L2C,32938580.0,14
