feature,importance_gain,importance_split
x_120m_VolDiff_neut,23562180.0,7
x_120m_H2C_neut,22614430.0,4
x_1440m_L2C_neut,22364959.0,9
x_5m_WhaleGap,18681000.0,8
x_480m_RatioSkewDiff_neut,17150230.0,6
x_5m_RatioSkew_neut,17049950.0,4
x_1440m_RVol,16325420.0,7
x_1440m_O2H_neut,15660122.0,7
x_480m_H2L_Vol,15640770.0,6
x_720m_O2H_neut,14697620.0,5
x_1440m_PremiumDiff,14440000.0,4
x_60m_Vol_neut,14299000.0,6
x_1440m_EffRatio_neut,13671370.0,5
x_240m_EffRatio_neut,13574083.0,8
x_1440m_Premium,12608010.0,5
x_1440m_L2C,12575870.0,4
x_60m_OI_Price_Ratio,11929930.0,6
x_120m_O2H_neut,11688150.0,7
x_240m_PremiumDiff,11320790.0,5
x_1440m_PctB,11290710.0,2
x_120m_Vol,10767903.0,4
x_720m_OI_Price_Ratio,10698291.0,5
x_480m_EffRatio_neut,10613650.0,2
x_120m_H2L_Vol,10283602.0,5
x_720m_O2L_neut,10172067.0,5
x_1440m_O2H,10009880.0,2
x_1440m_RatioSkewDiff_neut,9604990.0,7
x_1440m_H2C,9544660.0,6
x_120m_OI_Chg_neut,9418470.0,4
x_240m_OI_P_Corr,9411510.0,4
x_1440m_EffRatio,9138350.0,4
x_720m_H2C_neut,8929180.0,3
x_720m_H2L_Vol,8890450.0,3
x_480m_O2C_neut,8583310.0,3
x_720m_OI_Chg_neut,8533230.0,4
x_15m_PremiumDiff,7843746.0,4
x_1440m_O2L,7709140.0,3
x_720m_O2C_neut,7703720.0,3
x_240m_O2L,7586600.0,5
x_5m_H2C,7563710.0,1
x_1440m_Close_Diff_Rate_neut,7533464.0,5
x_1440m_PctB_neut,7247645.0,4
x_30m_O2H,6977507.0,4
x_480m_O2H_neut,6948649.0,3
x_480m_NetTaker_neut,6945170.0,3
x_1440m_OI_Price_Ratio_neut,6400770.0,4
x_120m_H2C,6223200.0,4
x_240m_O2H,6103820.0,4
x_480m_Close_Diff_Rate,6046410.0,3
x_5m_H2L_Vol_neut,6008410.0,2
x_720m_OI_XSkew,6007732.0,3
x_720m_OI_Z_neut,5931200.0,2
x_240m_C2VWAP_neut,5904140.0,4
x_1440m_OI_Chg_neut,5785458.0,4
x_120m_PremiumDiff,5480780.0,2
x_480m_O2L_neut,5415260.0,3
x_120m_O2L_neut,4892750.0,2
x_1440m_NetTaker_neut,4772073.0,4
x_720m_Close_Diff_Rate_neut,4738010.0,2
x_5m_RVol,4553960.0,2
x_5m_PremiumDiff,4490770.0,2
x_60m_O2H_neut,4328720.0,2
x_120m_PremiumDiff_neut,4194200.0,2
x_720m_PremiumDiff,4156310.0,1
x_720m_EffRatio,3985300.0,1
x_1m_L2C,3970090.0,1
x_120m_L2C,3781940.0,2
x_120m_Vol_neut,3757027.0,3
x_15m_O2L_neut,3696370.0,2
x_30m_PremiumDiff_neut,3652020.0,1
x_15m_RatioSkewDiff_neut,3649530.0,1
x_1440m_H2C_neut,3634944.0,2
x_720m_O2L,3547830.0,2
x_480m_H2C_neut,3538790.0,1
x_720m_OI_Price_Ratio_neut,3519320.0,2
x_120m_C2VWAP_neut,3450559.0,3
x_720m_OI_Z,3104370.0,2
x_240m_OI_Chg_neut,3072950.0,2
x_15m_L2C,3052760.0,1
x_30m_O2L_neut,3031120.0,2
x_720m_O2H,3011410.0,2
x_60m_H2L_Vol_neut,2978190.0,2
x_120m_Close_Diff_Rate,2931470.0,2
x_60m_Close_Diff_Rate,2922725.0,2
x_480m_PremiumDiff_neut,2897580.0,2
x_120m_L2C_neut,2858812.0,2
x_1m_H2C,2674170.0,1
x_5m_C2VWAP_neut,2672060.0,2
x_1440m_O2C_neut,2621710.0,2
x_1m_Premium,2552090.0,2
x_5m_O2H_neut,2508100.0,1
x_15m_H2L_Vol,2506080.0,1
x_15m_OI_Chg_neut,2438674.0,2
x_480m_L2C_neut,2390790.0,2
x_1m_O2L_neut,2196460.0,2
x_5m_PremiumDiff_neut,2192950.0,1
x_120m_O2L,2169730.0,1
x_240m_O2C,2142600.0,2
x_5m_O2C_neut,2118728.0,2
x_1m_H2C_neut,2105370.0,1
x_30m_OI_Chg,2042274.0,2
x_15m_H2C_neut,1975640.0,1
x_5m_O2L_neut,1945440.0,1
x_1440m_O2L_neut,1924620.0,1
x_30m_L2C_neut,1865640.0,1
x_5m_H2C_neut,1858880.0,1
x_1m_O2H_neut,1795915.0,2
x_30m_OI_Chg_neut,1793980.0,1
x_240m_OI_Chg,1693700.0,1
x_15m_O2H_neut,1535660.0,1
x_5m_O2H,1525020.0,1
x_1m_C2VWAP,1520570.0,1
x_240m_O2H_neut,1489840.0,1
x_5m_Premium_neut,1460440.0,1
x_480m_O2L,1457230.0,1
x_1440m_PremiumDiff_neut,1387570.0,1
x_60m_OI_Chg,1361230.0,1
x_1m_H2L_Vol_neut,1353220.0,1
x_480m_EffRatio,1300430.0,1
x_60m_O2H,1296150.0,1
x_480m_PremiumDiff,1276410.0,1
x_5m_O2C,1269410.0,1
x_240m_O2L_neut,1266480.0,1
x_240m_PremiumDiff_neut,1224600.0,1
x_1m_L2C_neut,1154900.0,1
x_120m_OI_Chg,1126500.0,1
x_15m_OI_Chg,1050900.0,1
x_60m_H2C,995297.0,1
x_120m_Close_Diff_Rate_neut,961329.0,1
x_5m_OI_Chg,936946.0,1
x_5m_RVol_neut,934103.0,1
x_1440m_OI_Chg,836203.0,1
x_1m_PremiumDiff_neut,612702.0,1
x_60m_O2L,0.0,0
x_60m_PremiumDiff,0.0,0
x_60m_OI_Chg_neut,0.0,0
x_60m_PremiumDiff_neut,0.0,0
x_60m_O2L_neut,0.0,0
x_240m_PctB_neut,0.0,0
x_60m_EffRatio_neut,0.0,0
x_1m_Premium_neut,0.0,0
x_120m_CrowdingPressure_neut,0.0,0
x_120m_NetTaker_neut,0.0,0
x_120m_O2H,0.0,0
x_15m_H2C,0.0,0
x_15m_O2H,0.0,0
x_15m_O2L,0.0,0
x_15m_PremiumDiff_neut,0.0,0
x_1m_C2VWAP_neut,0.0,0
x_1m_H2L_Vol,0.0,0
x_1m_O2L,0.0,0
x_1m_PremiumDiff,0.0,0
x_240m_NetTaker_neut,0.0,0
x_60m_EffRatio,0.0,0
x_30m_O2C,0.0,0
x_30m_O2H_neut,0.0,0
x_30m_O2L,0.0,0
x_30m_PremiumDiff,0.0,0
x_480m_L2C,0.0,0
x_480m_OI_Chg,0.0,0
x_5m_C2VWAP,0.0,0
x_5m_L2C,0.0,0
x_5m_L2C_neut,0.0,0
x_5m_O2L,0.0,0
x_5m_PctB_neut,0.0,0
x_720m_PremiumDiff_neut,0.0,0
