feature,importance_gain,importance_split
x_720m_OI_Z,1515930812.0,113
x_720m_OI_XSkew,924057402.0,177
x_120m_Vol,911213029.0,142
x_720m_OI_Z_neut,850620788.0,114
x_1440m_RVol,617303187.0,144
x_120m_Vol_neut,612059666.0,159
x_240m_OI_P_Corr,567774449.0,175
x_480m_RatioSkewDiff_neut,537016752.0,167
x_1440m_Premium,531163219.0,203
x_1440m_PctB,518737607.0,96
x_1440m_EffRatio,476350613.0,138
x_1440m_RatioSkewDiff_neut,465579623.0,125
x_5m_WhaleGap,445600097.0,130
x_480m_EffRatio,441441647.0,94
x_1440m_NetTaker_neut,423172544.0,151
x_240m_PctB_neut,420547559.0,80
x_120m_VolDiff_neut,416078339.0,127
x_5m_RatioSkew_neut,410920968.0,160
x_60m_Vol_neut,406366209.0,122
x_720m_OI_Price_Ratio_neut,392037137.0,109
x_480m_NetTaker_neut,371415866.0,140
x_120m_O2H_neut,363646466.0,53
x_720m_EffRatio,351489615.0,107
x_240m_O2H_neut,332540999.0,87
x_1440m_H2C_neut,330622979.0,121
x_240m_NetTaker_neut,325347855.0,104
x_720m_OI_Price_Ratio,320569785.0,107
x_1440m_H2C,316349364.0,111
x_120m_NetTaker_neut,311477838.0,78
x_240m_O2H,310552442.0,92
x_240m_EffRatio_neut,299597603.0,104
x_120m_CrowdingPressure_neut,295637436.0,110
x_480m_H2C_neut,289175439.0,81
x_720m_OI_Chg_neut,272737444.0,93
x_720m_H2C_neut,271167871.0,75
x_1440m_L2C_neut,269236301.0,93
x_1440m_O2L_neut,258985775.0,106
x_720m_H2L_Vol,257725339.0,103
x_720m_O2H_neut,257148135.0,88
x_60m_EffRatio,255730343.0,60
x_1440m_EffRatio_neut,253553540.0,106
x_30m_PremiumDiff,249271613.0,68
x_480m_OI_Chg,248413428.0,101
x_1440m_PctB_neut,247774331.0,71
x_720m_O2L,247116420.0,94
x_120m_H2L_Vol,246666689.0,93
x_480m_O2L_neut,239634082.0,87
x_480m_L2C,237839383.0,87
x_720m_O2H,236735258.0,82
x_480m_EffRatio_neut,236608288.0,101
x_1440m_O2L,234028919.0,93
x_480m_O2H_neut,228573464.0,76
x_1440m_O2H_neut,224532653.0,86
x_1440m_OI_Chg_neut,221046408.0,89
x_1440m_O2C_neut,220208486.0,59
x_480m_L2C_neut,213741767.0,83
x_240m_C2VWAP_neut,212105711.0,53
x_60m_PremiumDiff_neut,210603414.0,70
x_1440m_OI_Price_Ratio_neut,209155653.0,85
x_480m_H2L_Vol,208751294.0,92
x_1440m_O2H,204321895.0,82
x_480m_O2L,203409447.0,68
x_120m_OI_Chg_neut,201180361.0,73
x_120m_H2C_neut,198807224.0,71
x_15m_RatioSkewDiff_neut,198157047.0,71
x_240m_O2C,197032688.0,76
x_5m_Premium_neut,195864393.0,70
x_1440m_PremiumDiff,192219179.0,74
x_720m_O2L_neut,188833414.0,79
x_60m_H2L_Vol_neut,184508019.0,75
x_1440m_L2C,177456568.0,65
x_240m_O2L,177260686.0,81
x_15m_H2L_Vol,176613260.0,62
x_60m_OI_Price_Ratio,175689798.0,73
x_240m_O2L_neut,174428052.0,72
x_120m_O2H,170886498.0,63
x_240m_OI_Chg_neut,169169719.0,65
x_60m_O2H,166965662.0,72
x_60m_OI_Chg_neut,166930223.0,65
x_1440m_OI_Chg,161127867.0,76
x_120m_Close_Diff_Rate_neut,156527280.0,43
x_60m_EffRatio_neut,154174933.0,63
x_60m_Close_Diff_Rate,153596118.0,55
x_60m_O2H_neut,152725802.0,41
x_120m_O2L,152337110.0,64
x_480m_Close_Diff_Rate,151686441.0,67
x_120m_O2L_neut,150490094.0,50
x_720m_PremiumDiff_neut,145848602.0,54
x_480m_O2C_neut,145372602.0,65
x_720m_O2C_neut,143408754.0,55
x_480m_PremiumDiff,143378424.0,45
x_720m_PremiumDiff,142351914.0,52
x_60m_OI_Chg,140643465.0,57
x_1m_Premium,140640998.0,64
x_720m_Close_Diff_Rate_neut,139830698.0,64
x_120m_OI_Chg,138560670.0,63
x_30m_OI_Chg,137807130.0,47
x_480m_PremiumDiff_neut,137417018.0,57
x_120m_L2C_neut,136647367.0,58
x_120m_H2C,129714785.0,47
x_15m_OI_Chg,128361253.0,37
x_30m_O2L_neut,122628422.0,48
x_30m_L2C_neut,121945242.0,37
x_15m_O2L,121830081.0,43
x_120m_PremiumDiff_neut,121756895.0,53
x_120m_C2VWAP_neut,121321703.0,51
x_240m_OI_Chg,120130917.0,50
x_30m_O2H,120124250.0,56
x_120m_L2C,118285758.0,45
x_30m_PremiumDiff_neut,117991940.0,39
x_5m_RVol,117540660.0,51
x_1440m_PremiumDiff_neut,117303813.0,52
x_30m_O2L,116267821.0,46
x_60m_O2L,114281532.0,51
x_15m_H2C_neut,114045593.0,49
x_5m_H2C,111248044.0,38
x_60m_O2L_neut,109986330.0,52
x_1440m_Close_Diff_Rate_neut,108894255.0,48
x_15m_PremiumDiff,107955616.0,45
x_240m_PremiumDiff,107073724.0,39
x_5m_PremiumDiff_neut,103965004.0,49
x_60m_PremiumDiff,102512597.0,38
x_5m_PremiumDiff,102000795.0,33
x_60m_H2C,100999569.0,45
x_1m_C2VWAP_neut,100631090.0,33
x_15m_OI_Chg_neut,95681100.0,37
x_30m_O2C,95127784.0,38
x_15m_O2L_neut,94697392.0,38
x_120m_Close_Diff_Rate,93256960.0,37
x_1m_PremiumDiff_neut,89916277.0,43
x_15m_L2C,89494929.0,35
x_5m_O2C,89142905.0,37
x_1m_O2L,88549769.0,27
x_1m_C2VWAP,86918624.0,25
x_5m_O2L,85440438.0,36
x_30m_OI_Chg_neut,85425889.0,25
x_240m_PremiumDiff_neut,85056861.0,38
x_5m_C2VWAP_neut,79939972.0,35
x_5m_O2H,76928122.0,36
x_120m_PremiumDiff,76191410.0,34
x_1m_PremiumDiff,75155000.0,33
x_5m_PctB_neut,74411923.0,33
x_1m_H2C_neut,73124180.0,26
x_1m_Premium_neut,71756952.0,31
x_15m_PremiumDiff_neut,69883689.0,38
x_1m_L2C_neut,69240710.0,22
x_5m_OI_Chg,68898287.0,37
