feature,importance_gain,importance_split
x_1440m_EffRatio,141743632.0,35
x_1440m_O2H_neut,123452538.0,26
x_5m_RatioSkew_neut,99803024.0,31
x_120m_OI_Chg_neut,90776274.0,20
x_480m_EffRatio_neut,82690420.0,26
x_480m_RatioSkewDiff_neut,81550707.0,33
x_720m_OI_Z_neut,78346730.0,20
x_120m_Vol_neut,77922713.0,21
x_720m_O2H_neut,68109761.0,17
x_720m_OI_Price_Ratio_neut,67772337.0,20
x_60m_Vol_neut,67360159.0,18
x_720m_EffRatio,66258470.0,17
x_1440m_O2H,65404434.0,16
x_1440m_PctB,64143492.0,15
x_480m_L2C,62332635.0,21
x_240m_OI_P_Corr,59261287.0,19
x_1440m_L2C_neut,58788090.0,22
x_720m_OI_Price_Ratio,58743775.0,16
x_720m_Close_Diff_Rate_neut,54353684.0,21
x_1440m_EffRatio_neut,53063392.0,20
x_1440m_RVol,52434844.0,24
x_720m_OI_XSkew,48159880.0,15
x_120m_PremiumDiff_neut,48138145.0,14
x_240m_PctB_neut,47844520.0,12
x_15m_H2L_Vol,47672060.0,18
x_720m_O2C_neut,47253610.0,19
x_1440m_NetTaker_neut,47163040.0,27
x_120m_H2C_neut,45918820.0,14
x_480m_H2L_Vol,44654541.0,21
x_30m_L2C_neut,44604846.0,17
x_720m_O2L_neut,44447247.0,21
x_720m_OI_Z,44376480.0,11
x_60m_EffRatio_neut,43305504.0,14
x_1440m_H2C,43299760.0,19
x_1440m_PremiumDiff,42233083.0,20
x_240m_O2C,42148984.0,14
x_5m_RVol_neut,40729882.0,16
x_480m_PremiumDiff,40452256.0,15
x_120m_H2C,40175490.0,13
x_15m_RatioSkewDiff_neut,40155452.0,15
x_1440m_O2L,40089410.0,11
x_1440m_RatioSkewDiff_neut,38586691.0,14
x_720m_H2C_neut,38429495.0,19
x_120m_NetTaker_neut,37626079.0,13
x_5m_Premium_neut,37119121.0,8
x_480m_EffRatio,37097961.0,16
x_30m_O2H,36797910.0,13
x_1440m_OI_Chg_neut,36151937.0,12
x_5m_WhaleGap,35952650.0,13
x_5m_L2C_neut,35088869.0,12
x_240m_PremiumDiff_neut,34993764.0,16
x_30m_O2C,34338477.0,13
x_5m_PremiumDiff_neut,34322670.0,7
x_60m_EffRatio,34053160.0,14
x_480m_OI_Chg,32971930.0,17
x_1440m_L2C,32014664.0,15
x_120m_VolDiff_neut,31995071.0,18
x_1m_Premium,31984458.0,16
x_1440m_OI_Chg,31981440.0,13
x_1m_O2L_neut,31548246.0,11
x_15m_PremiumDiff,29699763.0,17
x_240m_O2H_neut,29427599.0,14
x_120m_O2H,29344445.0,14
x_120m_CrowdingPressure_neut,28730298.0,15
x_15m_PremiumDiff_neut,28500425.0,11
x_1440m_Premium,28367252.0,14
x_120m_O2L,28325599.0,14
x_60m_OI_Price_Ratio,28293300.0,13
x_60m_H2L_Vol_neut,27755525.0,13
x_1m_H2C_neut,27687592.0,10
x_120m_O2H_neut,27597507.0,14
x_1440m_O2C_neut,27334180.0,9
x_15m_OI_Chg,26117220.0,8
x_5m_PremiumDiff,25984852.0,15
x_5m_O2L_neut,25780201.0,16
x_480m_NetTaker_neut,25652682.0,11
x_5m_H2L_Vol_neut,25509410.0,9
x_120m_C2VWAP_neut,25282945.0,10
x_1m_O2L,25140583.0,11
x_240m_EffRatio_neut,25124962.0,14
x_720m_OI_Chg_neut,25123110.0,12
x_480m_PremiumDiff_neut,24799322.0,13
x_120m_OI_Chg,24794100.0,12
x_120m_Vol,24557770.0,5
x_1440m_PremiumDiff_neut,24455680.0,7
x_60m_Close_Diff_Rate,23483605.0,10
x_15m_O2L,23379003.0,9
x_5m_OI_Chg,23292930.0,11
x_15m_H2C,23264008.0,12
x_15m_O2H_neut,22399113.0,9
x_60m_O2H,22123051.0,13
x_120m_L2C,21737279.0,11
x_1440m_H2C_neut,21474178.0,8
x_120m_L2C_neut,21459360.0,11
x_30m_O2L,21319850.0,9
x_120m_PremiumDiff,21199100.0,11
x_480m_O2H_neut,21042670.0,9
x_120m_O2L_neut,20760970.0,10
x_60m_PremiumDiff_neut,20550520.0,12
x_720m_O2L,20376991.0,13
x_240m_O2L,20090125.0,12
x_5m_RVol,20071229.0,11
x_240m_C2VWAP_neut,19524592.0,10
x_30m_OI_Chg,19230590.0,8
x_5m_O2H,19098590.0,5
x_480m_O2C_neut,19016920.0,8
x_15m_O2L_neut,18986480.0,7
x_1m_L2C,18801920.0,9
x_720m_PremiumDiff,18729060.0,7
x_720m_PremiumDiff_neut,18543010.0,9
x_5m_H2C,18514110.0,7
x_5m_O2L,18392390.0,8
x_480m_H2C_neut,17983423.0,11
x_5m_O2C_neut,17866087.0,11
x_1440m_OI_Price_Ratio_neut,17611901.0,11
x_5m_L2C,17554041.0,9
x_1m_Premium_neut,17520980.0,8
x_240m_OI_Chg,17256630.0,9
x_240m_PremiumDiff,16816710.0,10
x_240m_O2H,16539300.0,6
x_5m_O2H_neut,16418847.0,10
x_120m_H2L_Vol,16396472.0,10
x_60m_PremiumDiff,15832910.0,6
x_240m_OI_Chg_neut,15129527.0,10
x_240m_NetTaker_neut,15028130.0,9
x_30m_PremiumDiff,14964325.0,9
x_1440m_PctB_neut,14813700.0,5
x_5m_C2VWAP,14677500.0,10
x_480m_O2L,14580420.0,9
x_60m_O2L,14493183.0,10
x_1m_L2C_neut,14344170.0,7
x_1440m_O2L_neut,14262860.0,7
x_30m_OI_Chg_neut,14052770.0,6
x_480m_Close_Diff_Rate,13732200.0,7
x_60m_H2C,13503952.0,8
x_5m_C2VWAP_neut,13439100.0,8
x_1m_PremiumDiff,13387642.0,10
x_480m_L2C_neut,13075543.0,7
x_60m_OI_Chg,12737640.0,6
x_480m_O2L_neut,12590534.0,8
x_1m_PremiumDiff_neut,12326531.0,8
x_30m_PremiumDiff_neut,11972881.0,8
x_15m_H2C_neut,11746640.0,7
x_1m_H2L_Vol,11698800.0,7
x_15m_OI_Chg_neut,11687692.0,5
x_1m_H2C,11595388.0,7
x_60m_OI_Chg_neut,10793070.0,6
x_720m_O2H,10249740.0,3
x_720m_H2L_Vol,10137580.0,5
x_1m_O2H_neut,10108397.0,7
x_30m_O2L_neut,9752420.0,5
