feature,importance_gain,importance_split
x_720m_OI_XSkew,390700480.0,79
x_240m_OI_P_Corr,378761740.0,72
x_480m_RatioSkewDiff_neut,323975928.0,95
x_5m_RatioSkew_neut,289372741.0,79
x_1440m_EffRatio,279186260.0,57
x_720m_OI_Z,268345911.0,49
x_1440m_L2C_neut,263334570.0,56
x_1440m_RVol,262884970.0,65
x_720m_OI_Z_neut,260111599.0,53
x_720m_OI_Chg_neut,225751100.0,48
x_1440m_RatioSkewDiff_neut,213307470.0,57
x_120m_Vol_neut,212589406.0,51
x_720m_EffRatio,210826687.0,37
x_480m_EffRatio,204086810.0,44
x_240m_O2H_neut,202259850.0,28
x_120m_NetTaker_neut,200992950.0,34
x_1440m_EffRatio_neut,194753501.0,45
x_60m_Vol_neut,182808940.0,59
x_5m_WhaleGap,180636120.0,53
x_120m_Vol,171521422.0,40
x_1440m_PctB,166763810.0,33
x_720m_OI_Price_Ratio,166622170.0,42
x_1440m_O2H_neut,164137700.0,46
x_480m_EffRatio_neut,159870110.0,45
x_60m_EffRatio,157394590.0,43
x_1440m_O2L,156825698.0,49
x_120m_O2H_neut,154008350.0,27
x_5m_Premium_neut,148750321.0,25
x_120m_VolDiff_neut,146301068.0,41
x_1440m_NetTaker_neut,146065486.0,57
x_1440m_PctB_neut,142666840.0,28
x_480m_OI_Chg,138795701.0,41
x_1440m_H2C_neut,136669930.0,35
x_240m_NetTaker_neut,136299058.0,30
x_120m_O2H,134466310.0,42
x_1440m_Premium,134180020.0,48
x_240m_PctB_neut,134090420.0,22
x_720m_OI_Price_Ratio_neut,124998175.0,43
x_1440m_OI_Chg,121008490.0,46
x_5m_L2C_neut,120886730.0,11
x_720m_O2H_neut,118845508.0,27
x_720m_H2L_Vol,117883740.0,35
x_240m_O2H,117456460.0,31
x_240m_EffRatio_neut,113124722.0,34
x_1440m_L2C,112933000.0,43
x_480m_H2L_Vol,112130890.0,41
x_15m_RatioSkewDiff_neut,111247020.0,34
x_1440m_OI_Price_Ratio_neut,111222790.0,42
x_240m_O2C,109208809.0,37
x_480m_NetTaker_neut,109072610.0,35
x_1440m_OI_Chg_neut,107948192.0,40
x_60m_O2H,107380883.0,34
x_60m_H2C,107275659.0,25
x_480m_O2L,106505910.0,32
x_720m_O2L,104378810.0,29
x_480m_L2C,103244400.0,30
x_480m_O2H_neut,100335045.0,26
x_240m_OI_Chg_neut,99721648.0,28
x_720m_O2C_neut,98437660.0,33
x_1440m_PremiumDiff,97199868.0,38
x_120m_L2C_neut,96469748.0,22
x_15m_PremiumDiff_neut,94974955.0,32
x_720m_O2H,94962470.0,27
x_720m_Close_Diff_Rate_neut,94109591.0,37
x_1440m_O2H,94097040.0,24
x_1m_Premium,93824550.0,26
x_120m_O2L,92938380.0,29
x_240m_OI_Chg,92501450.0,30
x_120m_CrowdingPressure_neut,90270470.0,33
x_240m_O2L,89747780.0,35
x_120m_OI_Chg_neut,88852402.0,34
x_120m_C2VWAP_neut,88417410.0,26
x_480m_Close_Diff_Rate,87135990.0,30
x_120m_Close_Diff_Rate,86730122.0,26
x_240m_PremiumDiff_neut,86324600.0,26
x_720m_PremiumDiff,86255160.0,28
x_120m_H2L_Vol,85433833.0,33
x_30m_L2C_neut,83042248.0,24
x_720m_O2L_neut,81973550.0,30
x_30m_OI_Chg,80786171.0,34
x_120m_H2C,80210190.0,26
x_30m_OI_Chg_neut,79789330.0,19
x_5m_PremiumDiff,79356760.0,30
x_60m_O2H_neut,79346970.0,26
x_120m_H2C_neut,78618380.0,32
x_5m_O2H,77074772.0,23
x_30m_O2H,76619400.0,21
x_5m_RVol,75721150.0,22
x_480m_PremiumDiff,74374600.0,32
x_1440m_O2C_neut,73090658.0,31
x_480m_L2C_neut,72127810.0,26
x_15m_H2L_Vol,72121480.0,25
x_15m_PremiumDiff,71353198.0,30
x_240m_C2VWAP_neut,71302410.0,27
x_60m_EffRatio_neut,70914270.0,28
x_1m_H2C_neut,70798986.0,16
x_720m_H2C_neut,70259040.0,30
x_1440m_PremiumDiff_neut,70237278.0,24
x_480m_O2L_neut,69673597.0,22
x_60m_OI_Price_Ratio,69551981.0,29
x_120m_O2L_neut,66635170.0,27
x_60m_O2L_neut,64617440.0,19
x_480m_H2C_neut,64519280.0,21
x_15m_OI_Chg,64285620.0,21
x_1440m_H2C,64121120.0,27
x_720m_PremiumDiff_neut,63536550.0,19
x_60m_PremiumDiff_neut,62446240.0,24
x_30m_O2H_neut,60299940.0,19
x_5m_L2C,59713040.0,13
x_1m_PremiumDiff,59690130.0,16
x_1m_H2C,59350700.0,19
x_1m_C2VWAP_neut,58283180.0,22
x_60m_OI_Chg,58194850.0,17
x_30m_PremiumDiff,58003850.0,19
x_60m_OI_Chg_neut,57085770.0,25
x_5m_H2L_Vol_neut,55698796.0,23
x_480m_PremiumDiff_neut,55523390.0,17
x_1m_Premium_neut,55437210.0,20
x_1m_L2C_neut,51534110.0,18
x_120m_L2C,50881340.0,21
x_480m_O2C_neut,50762780.0,17
x_30m_O2C,50728480.0,19
x_120m_OI_Chg,49928330.0,24
x_60m_O2L,49582070.0,19
x_5m_RVol_neut,48063360.0,12
x_60m_PremiumDiff,47521880.0,21
x_15m_O2L,47063740.0,20
x_5m_C2VWAP,46848848.0,20
x_15m_OI_Chg_neut,46642223.0,19
x_1m_O2H_neut,46633080.0,17
x_60m_Close_Diff_Rate,45867440.0,20
x_15m_H2C,45567130.0,13
x_5m_PremiumDiff_neut,45390550.0,17
