feature,importance_gain,importance_split
x_720m_OI_Z,817045755.0,73
x_720m_OI_XSkew,805024852.0,163
x_720m_OI_Z_neut,706691964.0,95
x_120m_Vol,538299757.0,85
x_480m_RatioSkewDiff_neut,441954040.0,142
x_1440m_RVol,436036940.0,90
x_240m_OI_P_Corr,424722059.0,123
x_1440m_EffRatio,413262271.0,112
x_120m_Vol_neut,411114896.0,110
x_1440m_PctB,383578793.0,63
x_1440m_Premium,373603345.0,148
x_1440m_RatioSkewDiff_neut,356155228.0,107
x_240m_PctB_neut,349181616.0,47
x_1440m_NetTaker_neut,337171215.0,108
x_5m_RatioSkew_neut,335034030.0,139
x_120m_VolDiff_neut,328836830.0,104
x_5m_WhaleGap,301199363.0,93
x_720m_OI_Price_Ratio_neut,287308780.0,88
x_60m_Vol_neut,280753770.0,77
x_1440m_H2C_neut,270184253.0,101
x_240m_NetTaker_neut,259364817.0,75
x_240m_EffRatio_neut,254472572.0,84
x_60m_EffRatio,242972584.0,62
x_1440m_PctB_neut,229288904.0,46
x_480m_NetTaker_neut,218779222.0,89
x_120m_NetTaker_neut,217579049.0,66
x_480m_L2C_neut,213483290.0,74
x_480m_H2C_neut,212268401.0,65
x_1440m_H2C,206082268.0,67
x_480m_EffRatio,203356255.0,67
x_240m_O2H_neut,197151694.0,58
x_1440m_L2C_neut,192848205.0,68
x_720m_EffRatio,191984372.0,61
x_720m_O2L,190825927.0,75
x_720m_OI_Chg_neut,190622437.0,82
x_240m_C2VWAP_neut,189264567.0,39
x_720m_O2H,186178820.0,58
x_120m_CrowdingPressure_neut,184974868.0,87
x_240m_O2H,183713339.0,73
x_15m_RatioSkewDiff_neut,180516188.0,60
x_480m_L2C,180221107.0,70
x_480m_O2H_neut,178542615.0,60
x_720m_OI_Price_Ratio,174054496.0,66
x_1440m_O2L_neut,170641153.0,72
x_1440m_O2L,165155385.0,69
x_720m_O2L_neut,163862794.0,75
x_30m_PremiumDiff,163763534.0,41
x_1440m_O2H,162674770.0,67
x_1440m_OI_Chg_neut,161167355.0,63
x_480m_O2L_neut,158995118.0,54
x_1440m_PremiumDiff,156712870.0,58
x_15m_H2L_Vol,156209083.0,57
x_1440m_L2C,155419591.0,60
x_120m_O2H_neut,154724487.0,34
x_720m_H2C_neut,154616937.0,48
x_480m_OI_Chg,154218957.0,63
x_1440m_O2H_neut,154039967.0,69
x_120m_H2L_Vol,153433419.0,53
x_60m_O2H_neut,153295587.0,46
x_1440m_EffRatio_neut,151390984.0,60
x_480m_EffRatio_neut,148064069.0,62
x_720m_H2L_Vol,145876413.0,62
x_60m_EffRatio_neut,144982090.0,59
x_720m_O2H_neut,144797087.0,63
x_480m_PremiumDiff,141195681.0,42
x_1440m_OI_Price_Ratio_neut,138870158.0,50
x_480m_H2L_Vol,137189691.0,58
x_120m_Close_Diff_Rate_neut,137052092.0,40
x_1m_Premium,133298538.0,58
x_30m_OI_Chg,132325472.0,46
x_120m_OI_Chg,132261446.0,54
x_240m_O2L_neut,131371071.0,63
x_60m_OI_Price_Ratio,129229954.0,55
x_480m_O2L,128153150.0,44
x_60m_OI_Chg_neut,124624720.0,39
x_240m_OI_Chg_neut,124510613.0,53
x_240m_O2L,117449470.0,58
x_15m_OI_Chg,117253110.0,35
x_60m_H2L_Vol_neut,117017430.0,47
x_720m_Close_Diff_Rate_neut,116856967.0,50
x_60m_PremiumDiff_neut,116841054.0,53
x_120m_O2L_neut,112707816.0,43
x_30m_O2L_neut,112666899.0,41
x_120m_OI_Chg_neut,109928186.0,44
x_120m_H2C_neut,108964469.0,45
x_240m_O2C,108647947.0,46
x_120m_O2H,108301244.0,53
x_120m_H2C,107365420.0,43
x_1440m_O2C_neut,107248197.0,38
x_60m_Close_Diff_Rate,107049048.0,47
x_720m_O2C_neut,105255830.0,40
x_60m_O2H,104673240.0,45
x_60m_OI_Chg,99679923.0,41
x_30m_O2H,99443244.0,48
x_60m_H2C,96904290.0,44
x_240m_PremiumDiff,96824739.0,30
x_720m_PremiumDiff_neut,96085373.0,40
x_120m_L2C,95627575.0,42
x_480m_O2C_neut,95528891.0,42
x_1m_C2VWAP_neut,93538858.0,28
x_120m_PremiumDiff_neut,91473731.0,39
x_120m_O2L,91100629.0,42
x_15m_O2L,90231435.0,32
x_120m_L2C_neut,89687221.0,39
x_480m_Close_Diff_Rate,89133369.0,42
x_720m_PremiumDiff,88894419.0,39
x_30m_PremiumDiff_neut,87467190.0,33
x_15m_H2C_neut,84438784.0,42
x_1440m_OI_Chg,82671080.0,46
x_15m_PremiumDiff,82252260.0,40
x_120m_PremiumDiff,80990264.0,38
x_480m_PremiumDiff_neut,80158932.0,34
x_15m_OI_Chg_neut,80070465.0,34
x_240m_OI_Chg,76017998.0,33
x_30m_O2L,75562119.0,27
x_60m_O2L_neut,74872679.0,37
x_1m_Premium_neut,74395141.0,30
x_5m_C2VWAP_neut,73949307.0,35
x_5m_Premium_neut,73544394.0,37
x_120m_C2VWAP_neut,72343039.0,30
x_5m_PremiumDiff_neut,72237689.0,34
x_15m_O2L_neut,72018318.0,31
x_240m_PremiumDiff_neut,70767909.0,32
x_15m_PremiumDiff_neut,70279403.0,34
x_5m_RVol_neut,69997620.0,29
x_60m_O2L,69342270.0,28
x_1440m_Close_Diff_Rate_neut,68244283.0,36
x_1440m_PremiumDiff_neut,65382010.0,32
x_5m_H2C,64909256.0,31
x_60m_PremiumDiff,64061910.0,20
x_5m_PremiumDiff,59719233.0,25
x_5m_O2C,58811350.0,25
x_30m_L2C_neut,58009138.0,22
x_5m_RVol,56795021.0,27
x_1m_L2C_neut,55996180.0,15
x_15m_H2C,54884840.0,30
x_5m_L2C,52228247.0,28
x_1m_PremiumDiff,51970344.0,23
x_120m_Close_Diff_Rate,51838512.0,23
x_30m_O2C,51528071.0,22
x_5m_O2L,51392330.0,20
x_5m_O2C_neut,50627188.0,25
x_30m_OI_Chg_neut,50288712.0,27
x_5m_H2L_Vol_neut,50239440.0,24
x_1m_PremiumDiff_neut,49580934.0,28
x_1m_O2L,49064775.0,20
x_1m_O2H_neut,48985690.0,23
x_15m_O2H,48202696.0,23
x_15m_L2C,47750041.0,23
x_1m_H2C_neut,46048450.0,20
x_5m_OI_Chg,45746970.0,25
x_1m_H2L_Vol_neut,44956396.0,21
x_15m_O2H_neut,44345778.0,22
x_5m_O2H,43234880.0,24
x_1m_H2C,43028786.0,23
x_5m_O2H_neut,41511183.0,25
x_1m_L2C,41289640.0,22
x_5m_PctB_neut,39239425.0,18
x_5m_H2C_neut,38133906.0,16
x_1m_O2L_neut,37862688.0,21
x_5m_L2C_neut,34108981.0,17
x_5m_C2VWAP,32053549.0,18
x_1m_C2VWAP,30420078.0,19
x_5m_O2L_neut,26386660.0,13
x_1m_H2L_Vol,23471300.0,14
x_30m_O2H_neut,18225260.0,9
