feature,importance_gain,importance_split
x_240m_EffRatio_neut,42656048.0,9
x_15m_O2L_neut,36569448.0,5
x_5m_WhaleGap,35063696.0,20
x_1440m_O2L,31259670.0,13
x_1440m_Premium,31134775.0,18
x_1440m_L2C_neut,28756817.0,17
x_480m_NetTaker_neut,25951221.0,8
x_120m_Vol_neut,21210084.0,10
x_1440m_RVol,20984130.0,10
x_480m_H2L_Vol,20370522.0,12
x_720m_OI_XSkew,19842203.0,10
x_720m_EffRatio,18635819.0,11
x_240m_O2C,18470748.0,11
x_480m_RatioSkewDiff_neut,18384701.0,10
x_120m_H2C_neut,18331560.0,6
x_720m_O2L_neut,17968318.0,7
x_120m_Vol,17248705.0,8
x_120m_OI_Chg_neut,16194838.0,8
x_480m_L2C,16002925.0,8
x_60m_H2L_Vol_neut,15869960.0,9
x_120m_O2L_neut,15163362.0,7
x_240m_O2H,14018560.0,5
x_1440m_RatioSkewDiff_neut,14014729.0,12
x_60m_OI_Price_Ratio,13945129.0,10
x_1440m_H2C_neut,13382122.0,9
x_1440m_EffRatio,13042693.0,7
x_5m_RatioSkew_neut,12880151.0,8
x_480m_O2L_neut,12658176.0,8
x_120m_H2L_Vol,12470525.0,11
x_5m_RVol_neut,11290962.0,7
x_120m_L2C_neut,10876160.0,6
x_240m_PctB_neut,10684900.0,5
x_1440m_OI_Chg_neut,10313858.0,7
x_720m_OI_Price_Ratio_neut,10230245.0,4
x_480m_OI_Chg,10207930.0,5
x_720m_O2H,9938600.0,4
x_240m_OI_P_Corr,9587189.0,8
x_60m_O2H_neut,9039042.0,2
x_1m_H2L_Vol_neut,9006973.0,5
x_480m_L2C_neut,8930727.0,5
x_15m_O2H,8870722.0,4
x_30m_O2L,8861226.0,7
x_1440m_L2C,8757130.0,5
x_1m_H2L_Vol,8591934.0,6
x_240m_NetTaker_neut,8482948.0,6
x_1440m_EffRatio_neut,8447852.0,6
x_1m_H2C_neut,8337237.0,3
x_1m_O2L_neut,8171100.0,6
x_1440m_O2H,7990219.0,5
x_1440m_PctB,7835200.0,4
x_15m_PremiumDiff_neut,7418239.0,5
x_60m_O2L_neut,7367958.0,6
x_120m_L2C,7156454.0,5
x_60m_PremiumDiff_neut,7048674.0,5
x_120m_CrowdingPressure_neut,6951326.0,3
x_1m_Premium,6800883.0,5
x_60m_O2H,6679979.0,4
x_60m_Close_Diff_Rate,6535436.0,6
x_1m_L2C_neut,6259659.0,5
x_1440m_O2H_neut,6146356.0,4
x_5m_PremiumDiff,6139300.0,3
x_120m_NetTaker_neut,6021756.0,3
x_240m_O2L,5938087.0,4
x_1440m_OI_Price_Ratio_neut,5930419.0,5
x_720m_O2H_neut,5861637.0,4
x_480m_EffRatio_neut,5689470.0,3
x_120m_O2L,5380200.0,4
x_480m_H2C_neut,5285490.0,5
x_60m_O2L,5101090.0,3
x_30m_O2H_neut,4963683.0,5
x_60m_EffRatio,4959364.0,4
x_120m_O2H,4951811.0,2
x_15m_L2C,4794710.0,2
x_60m_OI_Chg,4614020.0,2
x_120m_OI_Chg,4475865.0,4
x_30m_PremiumDiff_neut,4309720.0,2
x_720m_OI_Z_neut,4212300.0,2
x_480m_O2L,4088038.0,2
x_120m_PremiumDiff_neut,3993822.0,4
x_240m_PremiumDiff,3812238.0,4
x_15m_O2L,3797145.0,3
x_720m_PremiumDiff_neut,3758071.0,4
x_1m_O2H_neut,3695280.0,4
x_15m_H2C_neut,3657990.0,2
x_5m_L2C_neut,3454392.0,3
x_240m_PremiumDiff_neut,3431490.0,2
x_480m_PremiumDiff_neut,3409090.0,2
x_240m_OI_Chg,3358793.0,3
x_720m_H2L_Vol,3315568.0,3
x_5m_O2C,3303748.0,3
x_15m_PremiumDiff,3299840.0,2
x_15m_H2C,3198358.0,3
x_1440m_NetTaker_neut,3186742.0,3
x_15m_OI_Chg_neut,3099295.0,3
x_15m_OI_Chg,2971980.0,1
x_1440m_Close_Diff_Rate_neut,2969349.0,4
x_30m_O2H,2914420.0,2
x_1m_L2C,2861469.0,3
x_720m_OI_Price_Ratio,2850564.0,2
x_60m_H2C,2774803.0,3
x_1m_PremiumDiff,2754180.0,1
x_15m_O2H_neut,2718160.0,1
