feature,importance_gain,importance_split
x_720m_OI_Z,391625292.0,23
x_720m_OI_Z_neut,307149556.0,19
x_720m_OI_XSkew,241076650.0,32
x_120m_Vol_neut,210243160.0,40
x_480m_EffRatio,201410860.0,19
x_720m_EffRatio,184721764.0,19
x_120m_Vol,173538200.0,24
x_1440m_EffRatio,135012490.0,32
x_120m_NetTaker_neut,123820560.0,24
x_240m_EffRatio_neut,115590230.0,27
x_60m_Vol_neut,113116770.0,29
x_5m_RatioSkew_neut,111364843.0,29
x_240m_O2H_neut,110976220.0,12
x_480m_RatioSkewDiff_neut,106852880.0,34
x_1440m_PctB,105951640.0,17
x_1440m_NetTaker_neut,105064940.0,26
x_1440m_PctB_neut,100485150.0,23
x_1440m_RVol,95521720.0,31
x_1440m_Premium,84990210.0,25
x_720m_O2L_neut,83960380.0,21
x_480m_L2C,83593920.0,21
x_30m_OI_Chg,81935181.0,11
x_1440m_RatioSkewDiff_neut,81030200.0,21
x_120m_VolDiff_neut,78730310.0,21
x_30m_PremiumDiff,77397880.0,19
x_1440m_H2C_neut,73046390.0,25
x_240m_OI_P_Corr,71363250.0,23
x_120m_CrowdingPressure_neut,69543490.0,23
x_60m_EffRatio,69400790.0,14
x_5m_PremiumDiff_neut,69130640.0,15
x_1440m_EffRatio_neut,67701940.0,15
x_720m_O2H_neut,67192980.0,12
x_720m_OI_Chg_neut,65710060.0,18
x_240m_O2H,64318650.0,20
x_120m_L2C,63846920.0,16
x_1m_C2VWAP_neut,63038480.0,9
x_1440m_OI_Chg_neut,62610340.0,22
x_480m_OI_Chg,61818850.0,18
x_1440m_H2C,58422090.0,24
x_240m_PctB_neut,58057820.0,14
x_60m_PremiumDiff_neut,57919800.0,17
x_240m_O2L,56744370.0,15
x_1m_Premium,55548090.0,20
x_1440m_O2L,54866200.0,19
x_720m_OI_Price_Ratio_neut,53499240.0,21
x_480m_H2L_Vol,53457410.0,21
x_480m_H2C_neut,53320047.0,21
x_480m_NetTaker_neut,52992330.0,18
