feature,importance_gain,importance_split
x_720m_OI_XSkew,1024839892.0,245
x_720m_OI_Z,899136384.0,141
x_720m_OI_Z_neut,841512728.0,173
x_120m_Vol,675720213.0,141
x_1440m_EffRatio,653546275.0,177
x_5m_RatioSkew_neut,641534289.0,227
x_480m_RatioSkewDiff_neut,604539834.0,253
x_1440m_RVol,577368367.0,172
x_240m_OI_P_Corr,574840106.0,205
x_1440m_NetTaker_neut,540564250.0,189
x_60m_Vol_neut,530855084.0,216
x_720m_EffRatio,518355302.0,141
x_240m_PctB_neut,499866880.0,114
x_1440m_PctB,474392965.0,120
x_480m_EffRatio,458970267.0,129
x_480m_EffRatio_neut,451311772.0,139
x_720m_OI_Price_Ratio_neut,443482252.0,169
x_120m_VolDiff_neut,442292218.0,195
x_120m_Vol_neut,424214055.0,152
x_480m_L2C_neut,418010451.0,134
x_5m_WhaleGap,401011401.0,139
x_480m_NetTaker_neut,399766563.0,135
x_1440m_RatioSkewDiff_neut,392332296.0,142
x_240m_NetTaker_neut,391342140.0,148
x_240m_O2H_neut,387502207.0,110
x_1440m_L2C_neut,387199228.0,145
x_60m_EffRatio,368911624.0,127
x_240m_O2H,366328664.0,112
x_1440m_O2L,360272302.0,157
x_15m_RatioSkewDiff_neut,355723459.0,132
x_1440m_O2H_neut,346041968.0,137
x_120m_O2H_neut,328662048.0,74
x_720m_O2H_neut,327643918.0,125
x_240m_EffRatio_neut,314059518.0,143
x_1440m_Premium,312426309.0,141
x_1440m_OI_Chg_neut,303065046.0,140
x_1440m_OI_Price_Ratio_neut,300209182.0,124
x_1440m_H2C,298785688.0,134
x_480m_O2H_neut,292594905.0,117
x_720m_OI_Chg_neut,290792572.0,133
x_120m_H2L_Vol,285912444.0,135
x_480m_H2L_Vol,284995374.0,156
x_1440m_PctB_neut,284626873.0,124
x_1440m_EffRatio_neut,281436047.0,130
x_480m_L2C,281256954.0,126
x_240m_O2L_neut,280368576.0,103
x_1440m_O2C_neut,273618019.0,90
x_60m_OI_Price_Ratio,271798735.0,131
x_240m_O2L,271087991.0,112
x_1440m_OI_Chg,270451240.0,118
x_480m_OI_Chg,262237471.0,119
x_120m_O2H,257997506.0,118
x_720m_H2L_Vol,256924328.0,142
x_15m_H2L_Vol,254216764.0,92
x_60m_O2L,249100507.0,114
x_720m_H2C_neut,244731541.0,112
x_120m_H2C,243440275.0,115
x_1440m_L2C,242136684.0,122
x_120m_NetTaker_neut,239148691.0,108
x_1440m_O2L_neut,234597820.0,101
x_60m_O2H_neut,234047490.0,84
x_1440m_PremiumDiff,233348043.0,107
x_240m_O2C,233087158.0,100
x_720m_Close_Diff_Rate_neut,229712306.0,102
x_120m_CrowdingPressure_neut,228069795.0,121
x_720m_O2L_neut,226868506.0,114
x_240m_C2VWAP_neut,225131485.0,80
x_60m_PremiumDiff_neut,224684781.0,90
x_1440m_O2H,222554976.0,103
x_1440m_H2C_neut,221344274.0,110
x_480m_O2L,220272825.0,88
x_120m_OI_Chg_neut,218169556.0,112
x_480m_PremiumDiff,216215173.0,115
x_240m_OI_Chg,211280431.0,102
x_720m_PremiumDiff,209076765.0,90
x_720m_OI_Price_Ratio,208741857.0,87
x_720m_O2L,203843662.0,105
x_120m_L2C_neut,202935183.0,95
x_30m_OI_Chg,197010809.0,82
x_480m_H2C_neut,195236094.0,92
x_1m_Premium,192282443.0,90
x_5m_PremiumDiff,185640553.0,96
x_5m_Premium_neut,184641120.0,78
x_15m_PremiumDiff,184207815.0,90
x_60m_H2L_Vol_neut,183949198.0,91
x_30m_O2H_neut,180894571.0,78
x_480m_O2L_neut,177157673.0,85
x_60m_EffRatio_neut,175562351.0,83
x_120m_C2VWAP_neut,174787752.0,90
x_480m_PremiumDiff_neut,171044163.0,74
x_720m_O2H,169952550.0,88
x_60m_H2C,169218926.0,88
x_120m_OI_Chg,169075858.0,89
x_120m_O2L,168781334.0,78
x_720m_O2C_neut,168121096.0,78
x_120m_O2L_neut,168064381.0,86
x_60m_Close_Diff_Rate,166325014.0,73
x_240m_PremiumDiff,164189950.0,79
x_1440m_Close_Diff_Rate_neut,164061969.0,66
x_480m_O2C_neut,163179397.0,86
x_5m_O2L_neut,162527531.0,56
x_1m_Premium_neut,162379387.0,84
x_60m_OI_Chg_neut,161679714.0,82
x_120m_L2C,160785894.0,83
x_15m_PremiumDiff_neut,160156611.0,93
x_1m_C2VWAP_neut,154640561.0,65
x_5m_L2C,153203695.0,69
x_5m_H2C_neut,152279491.0,43
x_15m_O2L_neut,151194146.0,77
x_30m_OI_Chg_neut,149635194.0,68
x_5m_RVol,145285024.0,63
x_30m_O2H,144933689.0,77
x_1440m_PremiumDiff_neut,138066357.0,69
x_240m_PremiumDiff_neut,137827179.0,69
x_60m_PremiumDiff,136207743.0,69
x_120m_Close_Diff_Rate,135806368.0,73
x_1m_L2C_neut,135193339.0,61
x_5m_O2C,135023233.0,55
x_30m_O2C,134395448.0,79
x_480m_Close_Diff_Rate,132651850.0,76
x_60m_OI_Chg,132590299.0,64
x_30m_L2C_neut,132056481.0,66
x_240m_OI_Chg_neut,129835696.0,79
x_15m_OI_Chg,129792400.0,81
x_5m_H2L_Vol_neut,128657261.0,67
x_720m_PremiumDiff_neut,126726024.0,71
x_1m_PremiumDiff,125768848.0,54
x_120m_PremiumDiff,121883367.0,62
x_5m_PremiumDiff_neut,121674887.0,63
x_30m_O2L_neut,120329585.0,60
x_1m_H2C,119466469.0,55
x_5m_L2C_neut,119197691.0,54
x_120m_H2C_neut,118571528.0,67
x_30m_PremiumDiff_neut,117797880.0,50
x_5m_O2H,117083263.0,63
x_30m_PremiumDiff,116835718.0,48
x_5m_O2C_neut,116110481.0,43
x_60m_O2H,115896350.0,63
x_5m_H2C,115675394.0,52
x_60m_O2L_neut,114951033.0,63
x_5m_C2VWAP,114751910.0,53
x_15m_O2L,114134324.0,64
x_120m_PremiumDiff_neut,113093404.0,61
x_30m_O2L,107444089.0,43
x_15m_O2H,105622353.0,61
x_15m_H2C,104634120.0,58
x_15m_L2C,102089699.0,63
x_15m_H2C_neut,101940611.0,60
x_1m_PremiumDiff_neut,100113466.0,66
x_5m_RVol_neut,97586099.0,61
x_1m_O2L_neut,96187936.0,43
x_5m_O2L,95959957.0,50
x_1m_O2H_neut,95876956.0,48
x_5m_O2H_neut,95397423.0,60
x_1m_H2L_Vol,88824650.0,52
x_1m_O2L,87689262.0,53
x_5m_C2VWAP_neut,86610787.0,53
x_5m_OI_Chg,85700511.0,48
x_1m_C2VWAP,83096280.0,52
x_1m_L2C,81708172.0,36
x_5m_PctB_neut,64061183.0,39
x_1m_H2C_neut,64022574.0,41
x_1m_H2L_Vol_neut,62737019.0,38
x_15m_OI_Chg_neut,55995796.0,42
x_15m_O2H_neut,49639611.0,34
x_120m_Close_Diff_Rate_neut,44752830.0,27
