feature,importance_gain,importance_split
x_1440m_RatioSkewDiff_neut,23163946.0,9
x_120m_VolDiff_neut,14182921.0,10
x_720m_Close_Diff_Rate_neut,13671865.0,5
x_240m_O2H,13549144.0,7
x_720m_EffRatio,12643970.0,4
x_1440m_L2C_neut,12412029.0,8
x_240m_O2C,11771071.0,6
x_1m_L2C,11405932.0,3
x_1440m_H2C,11045186.0,6
x_480m_H2L_Vol,10531548.0,9
x_1440m_EffRatio,9482270.0,4
x_5m_C2VWAP_neut,9432800.0,4
x_480m_O2C_neut,8609131.0,3
x_1440m_EffRatio_neut,8383822.0,7
x_1440m_O2L,8214354.0,3
x_1440m_O2H,7911844.0,6
x_720m_O2H,7774604.0,6
x_1440m_PctB,7558660.0,1
x_15m_O2L,7430594.0,6
x_480m_L2C_neut,6857181.0,6
x_1440m_OI_Price_Ratio_neut,6757950.0,4
x_1m_O2L_neut,6446310.0,2
x_120m_H2C_neut,6311149.0,5
x_480m_L2C,6275997.0,3
x_60m_OI_Price_Ratio,6216565.0,5
x_480m_EffRatio,6208905.0,3
x_120m_C2VWAP_neut,5622953.0,6
x_5m_Premium_neut,5373178.0,3
x_1440m_RVol,5267149.0,5
x_1440m_OI_Chg_neut,5072613.0,4
x_480m_O2H_neut,4978444.0,4
x_1m_O2H_neut,4871692.0,4
x_1440m_O2H_neut,4436551.0,4
x_120m_L2C,4399554.0,4
x_240m_PremiumDiff,4372829.0,4
x_15m_H2C,4352257.0,5
x_15m_OI_Chg,4339760.0,4
x_60m_O2H_neut,4288158.0,6
x_30m_OI_Chg,4250283.0,3
x_5m_PremiumDiff,4111275.0,4
x_1440m_Close_Diff_Rate_neut,4065174.0,5
x_240m_O2L,4043710.0,2
x_480m_Close_Diff_Rate,4043275.0,4
x_720m_O2H_neut,4032048.0,2
x_480m_RatioSkewDiff_neut,3999537.0,4
x_720m_OI_XSkew,3921010.0,2
x_720m_O2C_neut,3848510.0,2
x_5m_O2C,3746825.0,3
x_120m_H2L_Vol,3678380.0,5
x_1440m_H2C_neut,3660830.0,2
x_5m_O2L_neut,3603370.0,1
x_5m_O2L,3572500.0,2
x_15m_PremiumDiff_neut,3571274.0,4
x_120m_H2C,3510821.0,3
x_120m_Vol,3436580.0,2
x_5m_RVol,3425462.0,4
x_120m_NetTaker_neut,3298024.0,3
x_1440m_O2C_neut,3176360.0,2
x_720m_OI_Z_neut,3108210.0,2
x_30m_PremiumDiff,3063835.0,5
x_240m_OI_Chg_neut,2988637.0,3
x_480m_NetTaker_neut,2917409.0,3
x_5m_L2C,2888944.0,3
x_480m_OI_Chg,2888332.0,5
x_60m_H2L_Vol_neut,2853840.0,2
x_30m_L2C_neut,2852406.0,3
x_240m_OI_P_Corr,2795560.0,2
x_1440m_NetTaker_neut,2763995.0,4
x_15m_RatioSkewDiff_neut,2578080.0,2
x_480m_PremiumDiff_neut,2410780.0,1
x_120m_PremiumDiff,2372990.0,1
x_720m_O2L_neut,2295587.0,3
x_60m_PremiumDiff_neut,2277587.0,4
x_120m_OI_Chg_neut,2244833.0,3
x_120m_Close_Diff_Rate_neut,2215972.0,4
x_720m_OI_Chg_neut,2193646.0,2
x_1440m_PremiumDiff,2177290.0,1
x_240m_OI_Chg,2157474.0,4
x_1m_PremiumDiff,2129429.0,3
x_120m_Close_Diff_Rate,2114917.0,3
x_30m_PremiumDiff_neut,2061631.0,3
x_5m_H2L_Vol_neut,1986346.0,4
x_30m_O2L,1923460.0,2
x_1m_H2C_neut,1918302.0,3
x_720m_H2L_Vol,1906182.0,2
x_5m_H2C_neut,1861357.0,3
x_1m_H2C,1797883.0,2
x_120m_OI_Chg,1741571.0,3
x_5m_RatioSkew_neut,1734793.0,2
x_720m_OI_Price_Ratio_neut,1731008.0,2
x_5m_RVol_neut,1686757.0,2
x_1m_C2VWAP_neut,1670880.0,3
x_60m_O2H,1649862.0,2
x_120m_O2H_neut,1624444.0,2
x_5m_O2H_neut,1486829.0,2
x_480m_PremiumDiff,1453940.0,1
x_240m_PctB_neut,1453160.0,1
x_30m_O2L_neut,1444028.0,2
x_60m_Vol_neut,1381435.0,2
x_720m_OI_Z,1349539.0,2
x_1m_PremiumDiff_neut,1305175.0,2
x_5m_WhaleGap,1305147.0,2
x_480m_EffRatio_neut,1280329.0,2
x_1m_H2L_Vol_neut,1255717.0,2
x_60m_Close_Diff_Rate,1242862.0,2
x_480m_O2L,1192564.0,2
x_240m_NetTaker_neut,1162710.0,1
x_120m_O2L,1036630.0,1
x_120m_PremiumDiff_neut,1021783.0,2
x_1m_O2L,1012580.0,1
x_60m_OI_Chg,909475.0,1
x_1m_C2VWAP,903114.0,1
x_15m_H2C_neut,648580.0,1
x_5m_PctB_neut,646348.0,1
x_30m_O2C,626468.0,1
x_5m_C2VWAP,583010.0,1
x_30m_OI_Chg_neut,571114.0,1
x_5m_O2C_neut,540618.0,1
x_240m_PremiumDiff_neut,538179.0,1
x_240m_O2L_neut,511720.0,1
x_1m_L2C_neut,481866.0,1
x_720m_OI_Price_Ratio,480077.0,1
x_720m_O2L,412688.0,1
x_15m_H2L_Vol,408555.0,1
x_720m_PremiumDiff_neut,407654.0,1
x_240m_O2H_neut,403494.0,1
x_15m_O2L_neut,389455.0,1
x_5m_H2C,386463.0,1
x_5m_OI_Chg,0.0,0
x_480m_O2L_neut,0.0,0
x_1440m_PctB_neut,0.0,0
x_1440m_OI_Chg,0.0,0
x_720m_H2C_neut,0.0,0
x_1440m_O2L_neut,0.0,0
x_1440m_L2C,0.0,0
x_120m_Vol_neut,0.0,0
x_120m_O2L_neut,0.0,0
x_1440m_Premium,0.0,0
x_30m_O2H,0.0,0
x_30m_O2H_neut,0.0,0
