feature,importance_gain,importance_split
x_5m_RatioSkew_neut,661793426.0,215
x_1440m_Premium,624145288.0,224
x_480m_RatioSkewDiff_neut,567108064.0,267
x_1440m_RVol,551475618.0,263
x_1440m_NetTaker_neut,541709199.0,192
x_120m_NetTaker_neut,529865936.0,160
x_720m_H2C_neut,527544473.0,161
x_5m_WhaleGap,513285360.0,195
x_1440m_H2C_neut,457555420.0,143
x_720m_OI_Price_Ratio_neut,450655570.0,128
x_1440m_EffRatio,449727119.0,167
x_120m_VolDiff_neut,430499668.0,190
x_480m_H2L_Vol,425218333.0,194
x_1440m_O2L,424604580.0,182
x_720m_OI_XSkew,423516631.0,213
x_480m_NetTaker_neut,409467237.0,158
x_720m_O2L_neut,409308145.0,188
x_480m_H2C_neut,406551353.0,135
x_240m_O2L,398813754.0,158
x_120m_O2L_neut,392365676.0,151
x_1440m_RatioSkewDiff_neut,391811097.0,165
x_240m_OI_P_Corr,380578533.0,172
x_120m_Vol,376432900.0,168
x_1440m_OI_Price_Ratio_neut,373642252.0,143
x_720m_EffRatio,373146703.0,163
x_240m_PctB_neut,369857265.0,132
x_480m_EffRatio,364267500.0,148
x_720m_H2L_Vol,363352925.0,173
x_1440m_OI_Chg,359364642.0,185
x_240m_O2C,356549944.0,107
x_720m_O2L,349748681.0,130
x_1440m_O2H_neut,341402802.0,159
x_480m_EffRatio_neut,338932199.0,151
x_720m_OI_Price_Ratio,333945347.0,149
x_60m_Vol_neut,329728006.0,143
x_1440m_O2L_neut,329525565.0,165
x_1440m_H2C,324111948.0,161
x_240m_NetTaker_neut,323646310.0,147
x_1440m_OI_Chg_neut,312771447.0,163
x_240m_EffRatio_neut,310959917.0,99
x_1440m_EffRatio_neut,309505254.0,119
x_120m_Vol_neut,307626128.0,148
x_120m_CrowdingPressure_neut,302140845.0,155
x_720m_OI_Z,297422358.0,144
x_480m_OI_Chg,295813459.0,146
x_480m_O2H_neut,286126990.0,147
x_120m_L2C_neut,285709305.0,101
x_480m_Close_Diff_Rate,281511536.0,117
x_480m_O2L_neut,267041458.0,135
x_1440m_L2C,265443974.0,136
x_480m_O2L,265355455.0,142
x_120m_O2H_neut,260270823.0,137
x_120m_H2C_neut,259165863.0,115
x_1440m_PremiumDiff,258418317.0,150
x_720m_O2H,255941693.0,119
x_15m_RatioSkewDiff_neut,253666049.0,85
